STORENAME,WHICHCVS,ADDRESS,시도,구군
강릉하평해변점,GS25,강원 강릉시 사천면 진리해변길167 (사천진리 274-5),강원도,강릉시
강릉현대점,GS25,"강원 강릉시 범일로645, 상가동 103,104호 (내곡동 469, 내곡동현대아파트)",강원도,강릉시
강릉홍제점,GS25,"강원 강릉시 토성로51, 지하1층 (홍제동 122)",강원도,강릉시
강릉화부산로점,GS25,"강원 강릉시 화부산로6, 1층 (교동 925-4)",강원도,강릉시
강릉회산점,GS25,"강원 강릉시 강변로72, 상가동 102, 103호 (회산동 605, 강릉회산LH천년나무2단지)",강원도,강릉시
강문삼거리점,GS25,강원 강릉시 창해로374 (강문동 236-1),강원도,강릉시
강원대기숙사점,GS25,"강원 춘천시 강원대학길1, 이룸관동1층 (효자동 192-1, 강원대학교)",강원도,춘천시
강원대정문점,GS25,강원 춘천시 백령로7 (효자2동 315-10),강원도,춘천시
강원도청점,GS25,강원 춘천시 중앙로1 (봉의동 15),강원도,춘천시
강원평창점,GS25,강원 평창군 평창읍 송학로40 (하리 72-2),강원도,평창군
강촌방곡로드점,GS25,강원 춘천시 남산면 강촌로242 (방곡리 280-5),강원도,춘천시
강촌중앙점,GS25,강원 춘천시 남산면 강촌로63(강촌리 243-4),강원도,춘천시
거두안길점,GS25,강원 춘천시 동내면 거두택지길14번길6 (거두리 950-7),강원도,춘천시
거진항점,GS25,강원 고성군 거진읍 거탄진로155-1(거진리 158-91),강원도,고성군
경포대점,GS25,강원 강릉시 강문동 산 4-5,강원도,강릉시
경포라카이점,GS25,"강원 강릉시 해안로536, 라카이샌드파인리조트 (안현동 89-87)",강원도,강릉시
경포윌점,GS25,강원 강릉시 창해로419(강문동 304-5),강원도,강릉시
경포현대점,GS25,"강원 강릉시 경포로463번안길15, 1층 101,102호 (저동 4-22, 경포현대아파트)",강원도,강릉시
경포호수점,GS25,"강원 강릉시 해안로501, 17,18,19호 (안현동 94-143)",강원도,강릉시
고성간성점,GS25,강원 고성군 간성읍 간성로64-1(하리 17-2),강원도,고성군
고성경동대점,GS25,강원 고성군 토성면 봉포4길30 (봉포리 234-13),강원도,고성군
고성공현진점,GS25,강원 고성군 죽왕면 공현진해변길57 (공현진리 134-3),강원도,고성군
고성대로점,GS25,"강원 고성군 토성면 동해대로4857, 1층 (봉포리 42-41)",강원도,고성군
고성봉포점,GS25,"강원 고성군 토성면 토성로96, 1층 (봉포리 289-1)",강원도,고성군
고성설악대점,GS25,"강원 고성군 토성면 성대로21, 1층 (신평리 458-12)",강원도,고성군
고성센트럴점,GS25,"강원 고성군 간성읍 남천길24, 상가동 지하1층 B101,102호 (신안리 620)",강원도,고성군
고성아이파크콘도점,GS25,강원 고성군 토성면 고성대로75-16 (원암리 362-1),강원도,고성군
고성유진점,GS25,강원 고성군 토성면 아야진해변길3 (청간리 4-7),강원도,고성군
고성율곡부대점,GS25,강원 고성군 토성면 뒷골길106 (학야리 221),강원도,고성군
고성제일점,GS25,강원 고성군 현내면 금강산로126 (초도리 218-9),강원도,고성군
고성죽왕점,GS25,강원 고성군 죽왕면 동해대로5900 (오호리 179-8),강원도,고성군
고한주공점,GS25,"강원 정선군 고한읍 고한10길30-1 (고한리 65-16, 고한주공아파트)",강원도,정선군
고한하이원점,GS25,강원 정선군 고한읍 고한로33 (고한리 121-7),강원도,정선군
관대빌리지점,GS25,"강원 강릉시 관솔길10, 1층 (회산동 192-9)",강원도,강릉시
관대장마트점,GS25,"강원 강릉시 범일로579번길21, 청도B/D A동2,3호(내곡동 314-14)",강원도,강릉시
관설제일점,GS25,강원 원주시 라옹정길59 (관설동 1677-1),강원도,원주시
