,역명
514,쌍문
515,수유
516,미아
517,미아삼거리
518,길음
519,성신여대입구
520,한성대입구
521,혜화
522,동대문
523,동대문역사문화공원
524,충무로
525,명동
526,회현
527,서울역
528,숙대입구
529,삼각지
530,신용산
531,이촌
532,동작
533,총신대입구
534,사당
535,남태령
536,방화
537,개화산
538,김포공항
539,송정
540,마곡
541,발산
542,우장산
543,화곡
544,까치산
545,신정
546,목동
547,오목교
548,양평
549,영등포구청
550,영등포시장
551,신길
552,여의도
553,여의나루
554,마포
555,공덕
556,애오개
557,충정로
558,서대문
559,광화문
560,종로3가
561,을지로4가
562,동대문역사문화공원
563,청구
564,신금호
565,행당
566,왕십리
567,마장
568,답십리
569,장한평
570,군자
571,아차산
572,광나루
573,천호
574,강동
575,길동
576,굽은다리
577,명일
578,고덕
579,상일동
580,둔촌동
581,올림픽공원(한국체대)
582,방이
583,오금
584,개롱
585,거여
586,마천
587,강일
588,미사
589,하남풍산
590,하남시청
591,하남검단산
592,응암
593,역촌
594,불광
595,독바위
596,연신내
597,구산
598,새절
599,증산
600,디지털미디어시티
601,월드컵경기장
602,마포구청
603,망원
604,합정
605,상수
606,광흥창
607,대흥
608,공덕
609,효창공원앞
610,삼각지
611,녹사평
612,이태원
613,한강진
614,버티고개
615,약수
616,청구
617,신당
618,동묘앞
619,창신
620,보문
621,안암
622,고려대
623,월곡
624,상월곡
625,돌곶이
626,석계
627,태릉입구
628,화랑대
629,봉화산
630,신내
631,장암
632,도봉산
633,수락산
634,마들
635,노원
636,중계
637,하계
638,공릉
639,태릉입구
640,먹골
641,중화
642,상봉
643,면목
644,사가정
645,용마산
646,중곡
647,군자
648,어린이대공원
649,건대입구
650,뚝섬유원지
651,청담
652,강남구청
653,학동
654,논현
655,반포
656,고속터미널
657,내방
658,총신대입구
659,남성
660,숭실대입구
661,상도
662,장승배기
663,신대방삼거리
664,보라매
665,신풍
666,대림
667,남구로
668,가산디지털단지
669,철산
670,광명사거리
671,천왕
672,온수
673,까치울
674,부천종합운동장
675,춘의
676,신중동
677,부천시청
678,상동
679,삼산체육관
680,굴포천
681,부평구청
682,암사
683,천호
684,강동구청
685,몽촌토성
686,잠실
687,석촌
688,송파
689,가락시장
690,문정
691,장지
692,복정
693,산성
694,남한산성입구
695,단대오거리
696,신흥
697,수진
698,모란
