대표식품코드,대표식품명,식품유형,식품분류(대),식품분류(중),식품분류(소),대표식품 내 전통식품수
100003,가루전병,복합식품,부식,구이류,전,1
100004,가물치국,복합식품,부식,국류,토장국,3
100005,가물치회,복합식품,부식,회류,생회,5
100009,가시연꽃열매,단일식품,조미식,양념류,양념류,1
100010,가시연밥,복합식품,주식,밥류,기타,9
100016,가오리어채,복합식품,부식,회류,기타,1
100017,가이주,복합식품,주류,기타,기타,1
100018,가자미,단일식품,기타,기타,기타,1
100019,가자미국,복합식품,부식,국류,기타,1
100020,가자미젓,복합식품,부식,젓갈류,발효젓,2
100021,가자미조림,복합식품,부식,찜류,조림,1
100022,가자미찌개,복합식품,부식,전골류,찌개,1
100024,가지,단일식품,기타,기타,기타,2
100028,가지국,복합식품,부식,국류,맑은장국,2
100029,가지김치,복합식품,부식,김치,야채김치,13
100030,가지나물,복합식품,부식,나물류,숙채,9
100031,가지누르미,복합식품,부식,구이류,구이,1
100033,가지말림,단일식품,기타,기타,기타,2
100034,가지선,복합식품,부식,찜류,선,4
100035,가지장,복합식품,조미식,장류,기타,1
100037,가지장아찌,복합식품,부식,장아찌류,장아찌,10
100039,가지전,복합식품,부식,구이류,전,2
100040,가지절임,복합식품,기타,기타,기타,12
100041,가지조림,복합식품,기타,기타,기타,5
100042,가지지,복합식품,기타,기타,기타,4
100043,가지지게미,복합식품,기타,기타,기타,2
100044,가지지게미절임,복합식품,기타,기타,기타,7
100047,가지찜,단일식품,부식,찜류,찜,9
100050,가집장,복합식품,조미식,장류,기타,1
100051,가짜장,복합식품,조미식,장류,기타,1
100052,가초선,복합식품,부식,회류,생회,1
100053,가화육,복합식품,부식,회류,생회,1
100054,간,단일식품,부식,찜류,볶음,1
100055,간구이,복합식품,기타,기타,기타,3
100057,간무침,복합식품,부식,장아찌류,기타,1
100058,간볶음,복합식품,부식,찜류,볶음,2
100060,간장,복합식품,조미식,장류,간장,18
100061,간장게장,복합식품,부식,젓갈류,발효젓,4
100062,간장구이,복합식품,부식,구이류,구이,1
100064,간전,복합식품,부식,구이류,전유어,11
100066,간조림,복합식품,부식,찜류,조림,1
100067,간회,복합식품,부식,회류,기타,1
100068,갈근,단일식품,기타,기타,기타,2
100069,갈근시루떡,복합식품,기호식,떡류,찐떡,1
100070,갈대가루면,복합식품,주식,면류,국수,1
100071,갈대잎찰밥,복합식품,주식,밥류,흰밥,1
100072,갈분국,복합식품,주식,면류,국수,1
100074,갈분다식,복합식품,기호식,한과류,다식,1
100075,갈분사면화채,복합식품,주식,면류,국수,1
100076,갈분응이,복합식품,주식,죽류,응이,7
100078,갈비구이,복합식품,부식,구이류,구이,8
100081,갈비숙회,복합식품,부식,회류,기타,1
100083,갈비찜,복합식품,부식,찜류,찜,13
100084,갈비탕,복합식품,부식,국류,탕류,9
100086,갈치젓,복합식품,부식,젓갈류,발효젓,1
100087,갈치조림,복합식품,부식,찜류,조림,2
100088,감,단일식품,기타,기타,기타,3
100090,감국,복합식품,기타,기타,기타,3
100091,감국나물,복합식품,부식,나물류,숙채,2
100092,감국싹죽,복합식품,주식,죽류,죽,1
100093,감국잎,단일식품,조미식,양념류,고명류,1
100094,감국전,복합식품,부식,구이류,전,1
100096,귤,단일식품,기타,기타,기타,7
100098,귤정과,복합식품,기호식,한과류,정과,5
100100,감꼭지,단일식품,조미식,양념류,양념류,1
100102,감떡,복합식품,기호식,떡류,찐떡,7
100106,감사과,복합식품,기호식,한과류,유밀과,16
100107,감스프,복합식품,기타,기타,기타,1
100108,감식초,복합식품,조미식,양념류,양념류,8
100110,감나무잎전,복합식품,부식,구이류,전,1
100117,감자만두,복합식품,주식,면류,만두,1
100118,감자밥,복합식품,주식,밥류,기타,3
100119,감자병,복합식품,기호식,떡류,기타,3
100120,감자장아찌,복합식품,부식,장아찌류,장아찌,2
100122,감자조림,복합식품,부식,찜류,조림,4
100123,감자튀김,복합식품,기타,기타,기타,1
100126,감주,복합식품,주류,양조곡주,순곡주류,7
100127,감창약,복합식품,기타,기타,기타,1
100128,감초,단일식품,기타,기타,기타,4
100129,감초탕,복합식품,주식,죽류,죽,2
100132,감화부,복합식품,부식,찜류,찜,1
100133,소내장회,단일식품,부식,회류,생회,21
100134,갓김치,복합식품,부식,김치,야채김치,8
100135,갓말림,단일식품,기타,기타,기타,1
100138,갓절임,복합식품,기타,기타,기타,4
100139,갓채,복합식품,부식,나물류,생채,2
100140,귤차,복합식품,기호식,음청류,다류,6
100141,강낭콩,단일식품,기타,기타,기타,1
100142,강된장,복합식품,조미식,장류,된장,1
100143,강분다식,복합식품,기호식,한과류,다식,1
100145,강정,복합식품,기호식,한과류,유과,36
100146,강정고명,복합식품,기호식,한과류,유과,2
100150,강죽차,복합식품,기호식,음청류,다류,3
100153,개고기,단일식품,부식,찜류,기타,8
100155,개고기구이,복합식품,부식,구이류,구이,1
100156,개고기동아찜,복합식품,부식,찜류,찜,5
100157,개고기절임,복합식품,기타,기타,기타,1
100158,개고기찜,복합식품,부식,찜류,찜,3
100160,개떡,복합식품,기호식,떡류,기타,1
100161,개순대,복합식품,기타,기타,기타,1
100162,개술,복합식품,주류,양조곡주,혼양곡주류,1
100163,개암기름,복합식품,조미식,양념류,양념류,1
100164,개암죽,복합식품,주식,죽류,죽,2
100166,개장,복합식품,부식,국류,기타,4
100167,개장국누르미,복합식품,부식,구이류,구이,2
100169,개장찜,복합식품,부식,찜류,찜,1
100170,개피떡,복합식품,기호식,떡류,찐떡,7
100171,갱미죽,복합식품,주식,죽류,죽,1
100174,거위,단일식품,부식,구이류,구이,2
100176,거위구이,복합식품,부식,구이류,구이,1
100177,거위기름죽,복합식품,부식,국류,탕류,1
100178,거위만두,복합식품,주식,면류,만두,2
100179,거위식해,복합식품,부식,젓갈류,식해,1
100181,거위절임,복합식품,부식,장아찌류,기타,1
100182,거위젓갈,복합식품,부식,젓갈류,발효젓,1
100184,거위포,복합식품,부식,장아찌류,기타,2
100186,건강법,기타,기타,기타,기타,1
100187,건시단자,복합식품,기호식,떡류,친떡,5
100188,건알판,복합식품,기타,기타,기타,1
100189,건약채방,복합식품,기타,보관법,,1
100190,건어물죽,복합식품,주식,죽류,죽,1
100191,건전편,복합식품,부식,구이류,전,1
100193,건함시,복합식품,부식,장아찌류,기타,1
100194,검인가루,복합식품,기타,기타,기타,1
100195,겉보리,복합식품,주류,기타,기타,1
100196,게,단일식품,부식,회류,생회,6
100201,게간랍,복합식품,기타,기타,기타,1
100202,게구이,복합식품,부식,구이류,구이,5
100203,게국,복합식품,부식,국류,기타,5
100206,게맥황장,복합식품,부식,젓갈류,발효젓,1
100208,게무침,복합식품,부식,회류,초회,1
100209,게묵나물,복합식품,부식,나물류,숙채,4
100211,게살만두,복합식품,주식,면류,만두,2
100212,게술,복합식품,주류,기타,기타,1
100213,게알조치,복합식품,부식,전골류,찌개,1
100214,게알찌개,복합식품,부식,전골류,찌개,1
100216,게장,복합식품,부식,젓갈류,발효젓,25
100217,게적,복합식품,부식,구이류,적,2
100218,게전,복합식품,부식,구이류,전,15
100220,게젓,복합식품,부식,젓갈류,발효젓,26
100222,게조치,복합식품,부식,전골류,찌개,1
100224,게찌개,복합식품,부식,전골류,찌개,3
100225,게찜,복합식품,부식,찜류,찜,12
100226,게탕,복합식품,부식,국류,탕류,8
100227,게포,복합식품,부식,장아찌류,기타,1
100229,게회,복합식품,부식,회류,생회,1
100231,겨자,단일식품,기타,기타,기타,26
100236,겨자절임,복합식품,기타,기타,기타,1
100237,겨자김치,복합식품,부식,김치,야채김치,3
100238,겨자선,복합식품,부식,찜류,선,1
100240,겨자장,복합식품,조미식,양념류,양념류,1
100241,겨자즙,복합식품,조미식,양념류,양념류,5
100242,겨자집,복합식품,조미식,양념류,양념류,1
100243,겨자채,복합식품,부식,나물류,생채,8
100244,견과정과,복합식품,기호식,한과류,정과,1
100245,결명자,단일식품,기호식,음청류,음료류,2
100247,겸절병,복합식품,기호식,떡류,지진떡,1
100248,경감주,복합식품,주류,양조곡주,순곡주류,1
100249,경단,복합식품,기호식,떡류,삶은떡,6
100250,경단음료,복합식품,기호식,음청류,음료류,1
100251,경단튀김,복합식품,기호식,한과류,유밀과,1
100252,경대국수,복합식품,주식,면류,국수,2
100254,경면녹파주,복합식품,주류,양조곡주,순곡주류,5
100255,경액춘주,복합식품,주류,양조곡주,순곡주류,2
100256,경장주,복합식품,주류,양조곡주,순곡주류,2
100257,경지절임,복합식품,기타,기타,기타,1
100258,계강과,복합식품,기호식,한과류,유밀과,6
100259,계당주,복합식품,주류,증류주,약용증류주,2
100260,계명주,복합식품,주류,양조곡주,혼양곡주류,2
100261,계소떡,복합식품,기호식,떡류,기타,1
100263,계심,단일식품,기타,기타,기타,1
100264,계심주,복합식품,주류,기타,기타,1
100266,계피,단일식품,기타,기타,기타,5
100267,계피가루차,복합식품,기호식,음청류,기타,1
100268,계피강정,복합식품,기호식,한과류,유과,6
100269,계피다식,복합식품,기호식,한과류,다식,3
100271,계피주,복합식품,주류,양조곡주,혼양곡주류,2
100272,계피죽,복합식품,주식,죽류,죽,1
100275,고구마밥,복합식품,주식,밥류,흰밥,2
100276,고구마산자,복합식품,기호식,한과류,유과,1
100280,고기,단일식품,기타,기타,기타,16
100291,고기구이,복합식품,기타,기타,기타,9
100292,고기국,복합식품,부식,국류,기타,2
100293,고기국수,복합식품,주식,면류,국수,3
100296,고기만두,복합식품,주식,면류,만두,1
100297,고기말림,단일식품,기타,기타,기타,2
100300,고기산적,복합식품,부식,구이류,적,4
100302,고기수육,복합식품,기타,기타,기타,18
100303,고기수제비,복합식품,부식,국류,탕류,1
100304,고기스프,복합식품,기타,기타,기타,1
100305,고기식해,복합식품,부식,젓갈류,식해,1
100306,고기양념,복합식품,부식,구이류,구이,1
100308,고기장,복합식품,부식,찜류,조림,3
100309,고기떡,복합식품,기타,기타,기타,1
100310,고기장조림,복합식품,부식,찜류,조림,4
100311,고기전골,복합식품,부식,전골류,전골,1
100313,고기절임,복합식품,기타,기타,기타,1
100314,고기젓갈,복합식품,부식,젓갈류,기타,1
100315,고기죽,복합식품,주식,죽류,죽,1
100316,고기탕,복합식품,부식,국류,탕류,3
100317,고기포접,복합식품,부식,장아찌류,기타,1
100319,고둥국,복합식품,부식,찜류,초,1
100320,고둥죽,복합식품,주식,죽류,죽,1
100322,고등어숙회,복합식품,부식,회류,숙회,1
100323,고등어젓,복합식품,부식,젓갈류,발효젓,1
100324,고등어조림,복합식품,부식,찜류,조림,2
100325,고등어찌개,복합식품,부식,전골류,찌개,1
100327,고라니주,복합식품,주류,양조곡주,혼양곡주류,2
100328,고락찌개,복합식품,부식,전골류,찌개,1
100330,고량강죽,복합식품,주식,죽류,죽,1
100332,고리,단일식품,기타,기타,기타,2
100334,고리초,복합식품,기타,기타,기타,1
100335,고물전유어,복합식품,부식,구이류,전유어,1
100337,고본주,복합식품,주류,양조곡주,혼양곡주류,4
100338,고비나물,단일식품,부식,나물류,숙채,8
100339,고사떡,복합식품,기호식,떡류,기타,1
100340,고사리,단일식품,기타,기타,기타,7
100344,고사리국,복합식품,부식,국류,맑은장국,5
100345,고사리나물,단일식품,부식,나물류,숙채,4
100346,고사리말림,단일식품,부식,나물류,기타,2
100347,고사리무침,복합식품,부식,나물류,숙채,1
100348,고사리장아찌,복합식품,기타,기타,기타,1
100349,고사리절임,복합식품,기타,기타,기타,1
100350,고사리찜,복합식품,부식,찜류,찜,6
100353,고수초무침,복합식품,부식,나물류,생채,1
100355,고순자채저법,복합식품,부식,나물류,생채,1
100357,고아주,복합식품,주류,기타,기타,1
100358,고욤,단일식품,기타,기타,기타,1
100363,고제탕,복합식품,부식,국류,탕류,2
100366,고추김치,복합식품,부식,김치,야채김치,1
100367,고추무침,복합식품,부식,나물류,숙채,2
100368,고추찜,복합식품,부식,찜류,찜,1
100369,고추볶음,복합식품,부식,찜류,볶음,1
100371,고추잎김치,복합식품,부식,김치,야채김치,1
100372,고추잎나물,복합식품,부식,나물류,숙채,1
100373,고추잎장아찌,복합식품,부식,장아찌류,장아찌,8
100375,고추장,복합식품,조미식,장류,고추장,29
100378,고추장구이,복합식품,부식,구이류,구이,1
100380,고추장메주,복합식품,조미식,장류,기타,2
100382,고추장볶음,복합식품,조미식,장류,고추장,2
100383,고추장아찌,복합식품,부식,장아찌류,장아찌,2
100384,고추장찌개,복합식품,부식,전골류,찌개,5
100385,고추적,복합식품,부식,구이류,적,1
100386,고추전,복합식품,부식,구이류,전,2
100390,곡식,단일식품,기타,기타,기타,1
100392,곤약,복합식품,기타,기타,기타,2
100393,곤쟁이,단일식품,부식,젓갈류,발효젓,2
100395,곤쟁이젓,복합식품,부식,젓갈류,발효젓,1
100396,곤쟁이젓김치,복합식품,부식,김치,배추김치,3
100397,곤쟁이젓깍두기,복합식품,부식,김치,무김치,1
100399,곤포죽,복합식품,주식,죽류,죽,1
100400,골무떡,복합식품,기호식,떡류,친떡,1
100402,골스프,복합식품,기타,기타,기타,1
100403,골전,복합식품,부식,구이류,전유어,4
100405,골조치,복합식품,부식,전골류,찌개,1
100406,골탕,복합식품,부식,국류,탕류,10
100407,곰,단일식품,기타,기타,기타,3
100410,곰국,복합식품,부식,국류,곰국,10
100411,곰발바닥,복합식품,기타,기타,기타,2
100413,곰찜,복합식품,부식,찜류,찜,1
100416,곰치쌈,복합식품,부식,나물류,기타,1
100420,곰탕,복합식품,부식,국류,곰국,1
100421,곱장떡,복합식품,기호식,떡류,기타,1
100422,공갈빵,복합식품,기타,기타,기타,1
100424,곶감,복합식품,기호식,한과류,기타,4
100426,곶감떡,복합식품,기호식,떡류,친떡,3
100427,곶감쌈,복합식품,부식,나물류,기타,2
100428,곶감죽,복합식품,부식,국류,토장국,3
100429,곶감찜,복합식품,부식,찜류,찜,1
100430,과년건육법,복합식품,기타,보관법,,1
100431,과동감백주,복합식품,주류,양조곡주,순곡주류,1
100434,과일,기술,기타,기타,기타,5
100435,과일인절미,복합식품,기호식,떡류,찐떡,1
100436,과자,복합식품,기호식,한과류,기타,3
100437,과주,복합식품,주류,양조곡주,순곡주류,1
100438,과줄,복합식품,기타,기타,기타,1
100439,과채당초절임,복합식품,기타,기타,기타,1
100440,과하주,복합식품,주류,양조곡주,혼양곡주류,30
100443,관묵,복합식품,부식,장아찌류,기타,2
100446,관전자,복합식품,부식,찜류,찜,1
100447,관중,복합식품,기타,기타,기타,1
100448,관폐,복합식품,기타,기타,기타,1
100449,광어,단일식품,기타,기타,기타,1
100451,광제주,복합식품,주류,양조곡주,순곡주류,1
100452,광주백당,복합식품,조미식,양념류,양념류,2
100453,교맥면,복합식품,주식,면류,기타,1
100454,교백절임,복합식품,기타,기타,기타,1
100456,교주,복합식품,주류,기타,기타,1
100457,교침해,복합식품,부식,젓갈류,발효젓,1
100458,구가주,복합식품,주류,기타,기타,1
100461,구기자,단일식품,기타,기타,기타,2
100462,구기자나물,단일식품,부식,나물류,숙채,2
100466,구기자잎죽,복합식품,주식,죽류,죽,1
100467,구기자주,복합식품,주류,양조곡주,혼양곡주류,14
100468,구기자죽,복합식품,주식,죽류,죽,4
100469,구기자즙,복합식품,주식,죽류,즙,1
100470,구기자차,단일식품,기호식,음청류,다류,8
100472,구두주,복합식품,주류,기타,기타,2
100473,구이,복합식품,부식,구이류,구이,1
100474,구일주,복합식품,주류,기타,기타,3
100475,구자,단일식품,기타,기타,기타,1
100476,구자탕,복합식품,부식,국류,탕류,1
100477,구절판,복합식품,부식,나물류,숙채,5
100478,구절편,복합식품,기호식,떡류,지진떡,1
100480,구황,단일식품,주식,기타,기타,2
100483,구황주,복합식품,주류,양조곡주,순곡주류,2
100485,국미주,복합식품,주류,증류주,순곡증류주,1
100486,국수,복합식품,주식,면류,국수,27
100487,국수물,복합식품,부식,국류,기타,1
100488,국수비빔,복합식품,주식,면류,국수,6
100489,국수장국,복합식품,주식,면류,국수,4
100490,국화,단일식품,기타,기타,기타,2
100491,국화떡,복합식품,조미식,양념류,양념류,1
100492,국화면,복합식품,기호식,음청류,화채,1
100495,국화잎주악,복합식품,기호식,떡류,지진떡,1
100497,국화전,복합식품,부식,구이류,전,2
100499,국화주,복합식품,주류,양조곡주,혼양곡주류,17
100500,국화차,단일식품,기호식,음청류,다류,9
100503,과일떡,단일식품,기호식,떡류,기타,1
100504,군떡,단일식품,기호식,떡류,기타,3
100505,군만두,단일식품,주식,면류,만두,3
100509,군배,단일식품,기타,기타,기타,1
100511,굴,단일식품,기타,기타,기타,3
100513,굴국,복합식품,부식,국류,기타,2
100514,굴김치,복합식품,부식,김치,기타,9
100515,굴깍두기,복합식품,부식,김치,무김치,5
100517,굴만두,복합식품,주식,면류,만두,2
100518,굴밥,복합식품,주식,밥류,기타,3
100519,굴비,단일식품,기타,기타,기타,4
100520,굴비찌개,복합식품,부식,전골류,찌개,2
100521,굴스프,복합식품,기타,기타,기타,1
100522,굴연포탕,복합식품,부식,국류,탕류,2
100524,굴자반,복합식품,부식,장아찌류,기타,1
100526,굴전,복합식품,부식,구이류,전,9
100527,굴전골,복합식품,부식,전골류,전골,1
100529,굴젓,복합식품,부식,젓갈류,발효젓,15
100530,굴조개,복합식품,부식,구이류,구이,1
100531,굴조개구이,복합식품,부식,구이류,구이,1
100532,굴죽,복합식품,주식,죽류,죽,6
100533,굴찌개,복합식품,부식,전골류,찌개,2
100534,굴탕,복합식품,부식,국류,탕류,1
100535,굴회,단일식품,부식,회류,생회,7
100538,음료,복합식품,기호식,음청류,음료류,1
100540,권전병,복합식품,기호식,떡류,지진떡,3
100541,귀리떡,복합식품,기호식,떡류,기타,1
100542,귀리소주,복합식품,주류,증류주,순곡증류주,1
100545,귤껍질,단일식품,기타,기타,기타,3
100548,귤떡,복합식품,기호식,떡류,찐떡,7
100557,귤화채,복합식품,기호식,음청류,화채,3
100558,귤환,복합식품,기타,기타,기타,1
100559,금강동탕,복합식품,부식,국류,탕류,1
100564,금중탕,복합식품,부식,국류,탕류,1
100566,급장,복합식품,조미식,장류,기타,10
100567,급주,복합식품,주류,양조곡주,순곡주류,4
100568,급초,복합식품,조미식,양념류,양념류,1
100569,기국차,단일식품,기호식,음청류,다류,4
100573,기름,단일식품,조미식,양념류,양념류,3
100576,기름장,복합식품,조미식,장류,기타,1
100577,기와다식,복합식품,기호식,한과류,다식,1
100578,기장국수,복합식품,주식,면류,국수,1
100580,기장쌀죽,복합식품,주식,죽류,죽,1
100581,기장인절미,복합식품,기호식,떡류,친떡,1
100583,기증편,복합식품,기호식,떡류,찐떡,1
100584,기화청장,복합식품,조미식,장류,간장,1
100586,김구이,단일식품,부식,구이류,구이,1
100587,김냉국,복합식품,부식,국류,기타,9
100588,김무침,복합식품,부식,나물류,숙채,4
100589,김밥,복합식품,주식,밥류,기타,1
100590,김부각,복합식품,부식,장아찌류,부각,2
100591,김쌈,복합식품,부식,장아찌류,기타,5
100592,김자반,복합식품,부식,장아찌류,기타,5
100594,김치,복합식품,부식,김치,기타,15
100597,김치냉면,복합식품,주식,면류,냉면,5
100599,김치밥,복합식품,주식,밥류,흰밥,4
100600,김치소,복합식품,부식,김치,기타,2
100601,김치쌈,복합식품,부식,장아찌류,기타,1
100603,김치적,복합식품,부식,구이류,적,1
100604,김치전,복합식품,부식,전골류,찌개,2
100605,김치죽,복합식품,주식,죽류,죽,2
100607,김치찌개,복합식품,부식,전골류,찌개,2
100608,김튀각,복합식품,부식,장아찌류,기타,2
100609,까치콩죽,복합식품,주식,죽류,죽,1
100610,깍두기,복합식품,부식,김치,무김치,12
100611,깨,단일식품,조미식,양념류,양념류,3
100612,깨강정,복합식품,기호식,한과류,유과,10
100613,깨경단,복합식품,기호식,떡류,삶은떡,1
100614,깨국,복합식품,기호식,음청류,음료류,10
100615,깨국수,복합식품,주식,면류,국수,1
100617,깨다식,복합식품,기호식,한과류,다식,5
100618,깨떡,복합식품,기호식,떡류,기타,3
100620,깨보숭이,복합식품,기타,기타,기타,1
100621,깨산자,복합식품,기호식,한과류,유과,1
100622,깨설기,복합식품,기호식,떡류,찐떡,17
100623,깨소금,복합식품,조미식,양념류,양념류,3
100624,깨엿,복합식품,기호식,한과류,기타,3
100628,깨잎쌈,복합식품,부식,나물류,기타,7
100629,깨잎장아찌,복합식품,부식,장아찌류,장아찌,2
100630,깨잎찌개,복합식품,부식,전골류,찌개,1
100631,깨장,복합식품,조미식,장류,된장,2
100633,깨죽,복합식품,주식,죽류,죽,4
100634,깨편,복합식품,기호식,떡류,찐떡,3
100635,꼬막구이,복합식품,부식,구이류,구이,1
100636,꼴뚜기구이,복합식품,부식,구이류,구이,3
100638,꼴뚜기젓,복합식품,부식,젓갈류,발효젓,1
100639,꼽장떡,복합식품,기호식,떡류,기타,1
100641,꽃소금,복합식품,조미식,양념류,양념류,1
100642,꽃전,복합식품,기호식,떡류,지진떡,4
100645,꿀,단일식품,조미식,양념류,양념류,3
100646,꿀경단,복합식품,기호식,떡류,삶은떡,1
100647,꿀떡,복합식품,기호식,떡류,찐떡,5
100649,꿀반죽군떡,복합식품,기호식,떡류,지진떡,2
100651,꿀사탕,복합식품,조미식,양념류,양념류,1
100652,꿀설기,복합식품,기호식,떡류,찐떡,1
100653,꿀소,복합식품,기호식,떡류,기타,1
100655,꿀술,복합식품,주류,기타,기타,7
100656,꿀식초,복합식품,조미식,양념류,양념류,1
100658,꿀죽,복합식품,기호식,한과류,기타,1
100659,꿀타래,복합식품,기타,기타,기타,1
100660,꿀팥죽,복합식품,주식,죽류,죽,1
100661,꿀편,복합식품,기호식,떡류,찐떡,7
100662,꿀황랍,복합식품,조미식,양념류,양념류,1
100663,꿩,단일식품,부식,구이류,구이,4
100664,꿩김치,복합식품,부식,김치,기타,7
100665,꿩구이,복합식품,부식,구이류,구이,32
100666,꿩국,복합식품,부식,국류,기타,3
100670,꿩냉면,복합식품,주식,면류,냉면,1
100672,꿩만두,복합식품,주식,면류,만두,10
100673,꿩밀떡구이,복합식품,부식,구이류,구이,1
100674,꿩볶음,복합식품,부식,김치,기타,3
100675,꿩수제비,복합식품,주식,면류,수제비,1
100676,꿩식해,복합식품,부식,젓갈류,식해,1
100677,꿩장,복합식품,조미식,장류,된장,2
100678,꿩장조림,복합식품,부식,찜류,조림,1
100679,꿩적,복합식품,부식,구이류,적,4
100680,꿩전,복합식품,부식,구이류,전,3
100681,꿩전골,복합식품,부식,전골류,전골,3
100683,꿩조림,복합식품,부식,찜류,조림,4
100684,꿩죽,복합식품,부식,국류,맑은장국,1
100686,꿩찜,복합식품,부식,찜류,찜,6
100687,꿩초,복합식품,부식,찜류,볶음,2
100690,꿩포,복합식품,부식,장아찌류,기타,3
100691,꿩회,복합식품,부식,회류,생회,1
100692,나귀곰국,복합식품,부식,국류,기타,1
100693,나귀머리,복합식품,기타,기타,기타,1
100694,나물,기술,부식,나물류,숙채,9
100699,나물김치,복합식품,부식,김치,야채김치,2
100700,나물무침,복합식품,부식,나물류,숙채,1
100703,나물찌기,복합식품,기타,기타,기타,1
100704,나박김치,복합식품,부식,김치,무김치,12
100705,나복병,복합식품,기호식,떡류,기타,2
100706,낙,단일식품,기타,기타,기타,1
100707,낙산춘,복합식품,주류,양조곡주,순곡주류,1
100709,낙지,단일식품,기타,기타,기타,2
100710,낙지누르미,복합식품,부식,구이류,구이,1
100711,낙지백숙,복합식품,부식,국류,곰국,1
100713,낙지자반,복합식품,부식,장아찌류,기타,1
100714,낙지전,복합식품,부식,구이류,전,13
100715,낙지전골,복합식품,부식,전골류,전골,4
100717,낙지찜,복합식품,부식,찜류,찜,1
100718,낙지채,복합식품,기타,기타,기타,1
100719,낙지포,복합식품,부식,구이류,구이,1
100721,낙지회,단일식품,부식,회류,생회,2
100723,난만두,복합식품,주식,면류,만두,1
100724,난면,복합식품,주식,면류,국수,5
100725,난숙,복합식품,부식,회류,편육,1
100726,난장,복합식품,조미식,장류,된장,1
100727,난적,복합식품,부식,구이류,적,2
100728,남성주,복합식품,주류,양조곡주,순곡주류,2
100729,납육,복합식품,기타,기타,기타,5
100730,납조,기술,기타,보관법,,1
100731,낭화,복합식품,기타,기타,기타,1
100733,내부비전국,복합식품,주류,기타,기타,1
100734,내장산적,복합식품,부식,구이류,구이,1
100735,냉면,복합식품,주식,면류,냉면,15
100736,냉이,단일식품,부식,나물류,기타,1
100737,냉이국,복합식품,부식,국류,기타,7
100738,냉이나물,복합식품,부식,나물류,숙채,1
100739,냉이무침,복합식품,부식,나물류,기타,1
100740,냉이죽,복합식품,부식,나물류,기타,3
100741,냉채,복합식품,부식,나물류,냉채,1
100742,너비아니,복합식품,부식,구이류,기타,6
100743,넘나물,복합식품,기호식,음청류,화채,2
100744,넘나물채,복합식품,부식,나물류,숙채,1
100745,넙치국,복합식품,부식,국류,맑은장국,5
100746,넙치알젓,복합식품,부식,젓갈류,발효젓,1
100748,노각겨자김치,복합식품,부식,김치,야채김치,1
100749,노각나물,복합식품,부식,나물류,숙채,1
100750,노각생채,복합식품,부식,나물류,생채,2
100751,노각장아찌,복합식품,부식,장아찌류,장아찌,1
100753,노루고기,복합식품,부식,구이류,구이,1
100756,노루고기전골,복합식품,부식,전골류,전골,1
100757,노루고기포,복합식품,부식,장아찌류,기타,1
100760,노산춘,복합식품,주류,양조곡주,순곡주류,1
100761,노을주,복합식품,주류,양조곡주,순곡주류,1
100762,노주,복합식품,주류,기타,기타,8
100765,녹각죽,복합식품,주식,죽류,죽,1
100766,녹두,단일식품,조미식,기타,기타,2
100767,녹두가루,단일식품,조미식,기타,기타,2
100768,녹두가루다식,복합식품,기호식,한과류,다식,4
100770,녹두국수,복합식품,주식,면류,국수,4
100772,녹두가루편,복합식품,기호식,한과류,정과,1
100773,녹두누룩,복합식품,주류,기타,기타,3
100777,녹두떡,복합식품,기호식,떡류,찐떡,6
100780,녹두묵,복합식품,기타,기타,기타,7
100782,녹두미음,복합식품,주식,죽류,죽,1
100783,녹두부침,복합식품,부식,구이류,전,1
100785,녹두소,복합식품,기호식,떡류,찐떡,1
100787,녹두시루떡,복합식품,기호식,떡류,찐떡,25
100789,녹두주,복합식품,주류,기타,기타,1
100790,녹두죽,복합식품,주식,죽류,죽,11
100791,녹두즙,복합식품,주식,죽류,죽,2
100792,녹두차,단일식품,기호식,음청류,다류,3
100795,녹두편,복합식품,기호식,떡류,찐떡,5
100796,녹말,복합식품,기타,기타,기타,6
100799,녹말국수,복합식품,주식,면류,국수,2
100800,녹말다식,복합식품,기호식,한과류,다식,9
100801,녹말떡,복합식품,기호식,한과류,정과,1
100802,녹말묵,복합식품,부식,나물류,묵,2
100804,녹말응이,복합식품,주식,죽류,응이,1
100805,녹말정과,복합식품,기호식,한과류,정과,1
100806,녹말편,복합식품,기호식,한과류,정과,5
100807,녹미주,복합식품,주류,기타,기타,1
100809,녹신죽,복합식품,주식,죽류,죽,1
100810,녹아압,복합식품,부식,찜류,찜,1
100811,녹용,복합식품,부식,국류,탕류,1
100813,녹운탕,복합식품,기호식,음청류,음료류,1
100814,녹육,복합식품,기타,기타,기타,1
100816,녹파주,복합식품,주류,양조곡주,순곡주류,8
100818,농어조림,복합식품,부식,찜류,조림,1
100820,뇌차,복합식품,기호식,음청류,다류,1
100821,누룩,복합식품,주류,기타,기타,20
100823,누룩발효,복합식품,주류,기타,기타,1
100824,양고기국,복합식품,부식,국류,기타,1
100825,누룩장,복합식품,조미식,장류,기타,9
100826,누룩절임,복합식품,기타,기타,기타,1
100827,누룩주,복합식품,주류,양조곡주,순곡주류,1
100828,누룩죽,복합식품,주식,죽류,죽,1
100829,누룩즙,복합식품,부식,국류,탕류,1
100830,누르미,복합식품,부식,구이류,구이,4
100831,누름적,복합식품,부식,구이류,적,7
100832,누면,복합식품,주식,면류,기타,1
100833,누영춘방,복합식품,기호식,음청류,다류,1
