대표식품코드,대표식품명,식품유형,식품분류(대),식품분류(중),식품분류(소),대표식품 내 전통식품수
103324,열젓국지,복합식품,부식,김치,기타,1
103325,열주,복합식품,주류,기타,기타,1
103326,염교떡,복합식품,기호식,떡류,기타,1
103331,염통구이,복합식품,부식,구이류,구이,4
103332,염통너비아니,복합식품,부식,구이류,기타,1
103333,염통볶음,복합식품,부식,찜류,볶음,2
103334,염통산적,복합식품,부식,구이류,적,4
103335,염포,복합식품,부식,장아찌류,기타,4
103336,염품,복합식품,조미식,양념류,양념류,1
103337,엽육법,복합식품,기타,기타,기타,1
103338,엿,복합식품,기호식,한과류,기타,22
103339,엿기름,복합식품,기타,기타,기타,4
103340,엿술,복합식품,주류,기타,기타,1
103341,엿식초,복합식품,조미식,양념류,양념류,1
103342,영계구이,복합식품,부식,구이류,구이,1
103343,영계김치,복합식품,부식,김치,기타,2
103344,영계백숙,복합식품,부식,국류,곰국,2
103345,영계볶음,복합식품,부식,찜류,볶음,2
103346,영계찜,복합식품,부식,찜류,찜,8
103347,영롱발어,복합식품,주식,면류,수제비,3
103348,영롱수제비,복합식품,주식,면류,수제비,4
103349,영양밥,복합식품,주식,밥류,흰밥,1
103350,영양엿,복합식품,조미식,양념류,양념류,1
103351,영주,복합식품,주류,양조곡주,혼양곡주류,1
103353,예주,복합식품,주류,양조곡주,순곡주류,5
103354,오가리나물,복합식품,부식,나물류,숙채,1
103355,오가피,단일식품,기타,기타,기타,3
103356,오가피주,복합식품,주류,양조곡주,혼양곡주류,9
103357,오가피죽,복합식품,주류,양조곡주,혼양곡주류,1
103358,오계국,복합식품,부식,국류,탕류,1
103359,오계찜,복합식품,부식,찜류,찜,1
103360,오곡밥,복합식품,주식,밥류,잡곡밥,5
103361,오곡죽,복합식품,주식,죽류,죽,1
103362,오골계간국,복합식품,주식,죽류,죽,1
103363,오골계국,복합식품,부식,국류,탕류,1
103364,오골계비계죽,복합식품,주식,죽류,죽,1
103365,오골계찜,복합식품,부식,찜류,찜,1
103366,오골계탕,복합식품,부식,국류,탕류,1
103367,오과차,복합식품,기호식,음청류,다류,1
103369,오두주,복합식품,주류,양조곡주,순곡주류,2
103370,오디,단일식품,기타,기타,기타,1
103371,오디주,복합식품,주류,증류주,약용증류주,1
103372,오랄초,복합식품,조미식,양념류,양념류,1
103373,오리,단일식품,기타,기타,기타,2
103375,오리고기국,복합식품,부식,국류,기타,2
103376,오리고기볶음,복합식품,부식,찜류,볶음,1
103377,오리구이,복합식품,부식,구이류,구이,3
103378,오래된장즙,복합식품,기타,기타,기타,1
103380,오리알,기술,기타,보관법,,2
103381,오리알절임,복합식품,기타,기타,기타,6
103382,오리찜,복합식품,부식,찜류,찜,6
103383,오리탕,복합식품,부식,국류,탕류,1
103386,오매차,복합식품,기호식,음청류,다류,3
103388,오미갈수,복합식품,기호식,음청류,음료류,1
103391,오미자,단일식품,기타,기타,기타,1
103392,오미자고,복합식품,기호식,음청류,다류,1
103394,오미자즙,복합식품,주식,죽류,즙,2
103395,오미자차,복합식품,기호식,음청류,다류,2
103396,오미자탕,복합식품,기호식,음청류,음료류,1
103397,오미자편,복합식품,기호식,한과류,다식,1
103398,오미탕,복합식품,기호식,음청류,음료류,1
103399,오미포,복합식품,부식,장아찌류,기타,2
103400,오반법,복합식품,기타,기타,기타,1
103401,오병주,복합식품,주류,양조곡주,순곡주류,2
103402,오복탕,복합식품,부식,국류,탕류,1
103406,오소리고기죽,복합식품,부식,국류,토장국,1
103407,오소리국,복합식품,부식,국류,기타,1
103408,오수주,복합식품,주류,양조곡주,혼양곡주류,1
103413,오이국수,복합식품,주식,면류,국수,1
103414,오이김치,복합식품,부식,김치,야채김치,17
103415,오이깍두기,복합식품,부식,김치,야채김치,7
103416,오이나물,복합식품,부식,나물류,숙채,11
103417,오이냉국,복합식품,부식,국류,냉국,9
103418,오이냉채,복합식품,부식,나물류,냉채,1
103422,늙은오이,복합식품,기타,기타,기타,1
103424,오이말림,복합식품,기타,기타,기타,3
103425,오이무름,복합식품,부식,국류,맑은장국,1
103426,오이무름국,복합식품,부식,국류,맑은장국,5
103427,오이볶음,복합식품,부식,찜류,볶음,1
103430,오이생채,복합식품,부식,나물류,생채,15
103431,오이선,복합식품,부식,찜류,선,3
103434,오이소박이,복합식품,부식,김치,야채김치,6
103436,오이동치미,복합식품,부식,김치,야채김치,2
103441,오이장아찌,복합식품,부식,장아찌류,장아찌,31
103442,오이장조림,복합식품,부식,찜류,조림,1
103443,오이절임,복합식품,기타,기타,기타,16
103445,오이지,복합식품,부식,김치,야채김치,16
103447,오이지게미절임,복합식품,기타,기타,기타,3
103448,오이지게미지,복합식품,기타,기타,기타,2
103449,오이지무침,복합식품,부식,나물류,생채,3
103450,오이지짐이,복합식품,부식,전골류,찌개,7
103452,오이찜,복합식품,부식,찜류,찜,11
103457,오자환,복합식품,기타,기타,기타,1
103458,오정주,복합식품,주류,양조곡주,혼양곡주류,2
103459,오종주,복합식품,주류,기타,기타,1
103460,오징어,단일식품,부식,국류,기타,2
103461,오징어채무침,복합식품,부식,회류,기타,1
103462,오향시루떡,복합식품,기호식,떡류,기타,1
103463,오향주,복합식품,주류,양조곡주,순곡주류,1
103465,오호주,복합식품,주류,양조곡주,순곡주류,2
103468,옥로상,복합식품,기타,기타,기타,1
103469,옥수수떡,복합식품,기호식,떡류,기타,2
103470,옥잠화전,복합식품,부식,구이류,전,1
103471,옥지주,복합식품,주류,기타,기타,1
103472,옥지춘,복합식품,주류,양조곡주,혼양곡주류,1
103473,옥판자,복합식품,기타,기타,기타,1
103475,온면,복합식품,주식,면류,국수,5
103476,온조탕,복합식품,기호식,음청류,음료류,1
103479,올벼밥,복합식품,주식,밥류,흰밥,1
103480,와송주,복합식품,주류,양조곡주,순곡주류,2
103481,왁저지,복합식품,기타,기타,기타,2
103485,완두장,복합식품,조미식,장류,기타,1
103486,완자,복합식품,기타,기타,기타,3
103487,완자전,복합식품,부식,구이류,전,1
103488,완자탕,복합식품,부식,국류,탕류,41
103492,왜장,복합식품,조미식,장류,기타,1
103493,외김치,복합식품,부식,김치,야채김치,1
103494,외나물,복합식품,부식,나물류,기타,1
103495,외무름국,복합식품,부식,국류,기타,1
103496,외상문채,복합식품,부식,찜류,선,1
103498,외선,복합식품,부식,찜류,선,1
103499,외소김치,복합식품,부식,김치,야채김치,1
103500,외장아찌,복합식품,부식,장아찌류,장아찌,1
103501,외피,기술,부식,장아찌류,장아찌,1
103502,요기떡,복합식품,기호식,떡류,찐떡,1
103503,요리,복합식품,기타,기타,기타,1
103504,요화대,복합식품,기호식,한과류,유과,1
103507,용봉탕,복합식품,부식,국류,곰국,7
103510,용안불노방,복합식품,기호식,음청류,기타,1
103511,용안육다식,복합식품,기호식,한과류,다식,4
103513,용저두강수제비,복합식품,주식,면류,수제비,1
103514,우거지국,복합식품,부식,국류,기타,1
103515,우거지죽,복합식품,주식,죽류,죽,1
103516,우거지지짐이,복합식품,부식,전골류,찌개,4
103517,우거지찌개,복합식품,부식,전골류,찌개,6
103518,우담소주,복합식품,주류,증류주,약용증류주,1
103519,우둔찜,복합식품,부식,찜류,찜,1
103520,우렁이백숙,복합식품,부식,국류,곰국,1
103521,우렁찜,복합식품,부식,찜류,찜,1
