"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001179","문일중학교","03","사립","N","","5","112","22.4","6","135","22.5","6","153","25.5","0","0","0","0","0","0","17","400","23.5","29","13.8"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001180","세일중학교","03","공립","N","","5","115","23","4","112","28","6","122","20.3","2","4","2","0","0","0","17","353","20.8","30","11.8"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001181","시흥중학교","03","공립","N","","7","156","22.3","7","156","22.3","9","233","25.9","3","17","5.7","0","0","0","26","562","21.6","52","10.8"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001182","신도림중학교","03","공립","N","","12","337","28.1","12","373","31.1","12","351","29.3","1","4","4","0","0","0","37","1065","28.8","61","17.5"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001183","안천중학교","03","공립","N","","6","150","25","6","151","25.2","6","131","21.8","1","5","5","0","0","0","19","437","23","35","12.5"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001184","선유중학교","03","공립","N","","4","103","25.8","5","126","25.2","6","140","23.3","1","4","4","0","0","0","16","373","23.3","28","13.3"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001185","양화중학교","03","공립","N","","8","204","25.5","9","214","23.8","8","207","25.9","1","6","6","0","0","0","26","631","24.3","46","13.7"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001186","여의도중학교","03","공립","N","","8","194","24.3","8","199","24.9","9","224","24.9","1","7","7","0","0","0","26","624","24","44","14.2"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001187","영남중학교","03","공립","N","","6","142","23.7","7","152","21.7","7","163","23.3","3","12","4","0","0","0","23","469","20.4","37","12.7"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001188","영림중학교","03","공립","N","","8","168","21","8","185","23.1","9","197","21.9","1","4","4","0","0","0","26","554","21.3","43","12.9"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001189","영서중학교","03","공립","N","","7","188","26.9","8","175","21.9","8","185","23.1","3","6","2","0","0","0","26","554","21.3","43","12.9"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001190","영원중학교","03","공립","N","","6","142","23.7","8","195","24.4","9","206","22.9","2","12","6","0","0","0","25","555","22.2","51","10.9"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001191","오남중학교","03","공립","N","","8","188","23.5","8","205","25.6","8","202","25.3","1","6","6","0","0","0","25","601","24","50","12"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001192","경인중학교","03","공립","N","","8","194","24.3","9","211","23.4","9","209","23.2","2","8","4","0","0","0","28","622","22.2","53","11.7"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001193","오류중학교","03","공립","N","","5","101","20.2","5","111","22.2","6","135","22.5","1","5","5","0","0","0","17","352","20.7","33","10.7"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001194","우신중학교","03","사립","N","","5","109","21.8","5","120","24","5","125","25","0","0","0","0","0","0","15","354","23.6","27","13.1"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001195","윤중중학교","03","공립","N","","6","118","19.7","6","133","22.2","5","103","20.6","1","3","3","0","0","0","18","357","19.8","36","9.9"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001196","한울중학교","03","공립","N","","8","175","21.9","8","194","24.3","8","174","21.8","1","7","7","0","0","0","25","550","22","42","13.1"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001363","경희여자중학교","03","사립","N","","5","111","22.2","5","123","24.6","5","131","26.2","0","0","0","0","0","0","15","365","24.3","37","9.9"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001364","경희중학교","03","사립","N","","7","161","23","6","158","26.3","7","174","24.9","0","0","0","0","0","0","20","493","24.7","38","13"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001365","대광중학교","03","사립","N","","5","102","20.4","5","117","23.4","5","127","25.4","0","0","0","0","0","0","15","346","23.1","30","11.5"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001367","동국대학교사범대학부속중학교","03","사립","N","","7","166","23.7","6","166","27.7","7","188","26.9","0","0","0","0","0","0","20","520","26","33","15.8"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001368","동대문중학교","03","공립","N","","7","188","26.9","7","192","27.4","8","203","25.4","2","9","4.5","0","0","0","24","592","24.7","43","13.8"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001369","동원중학교","03","공립","N","","5","134","26.8","5","101","20.2","5","137","27.4","1","1","1","0","0","0","16","373","23.3","26","14.3"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001370","면목중학교","03","공립","N","","7","141","20.1","7","177","25.3","7","158","22.6","1","2","2","0","0","0","22","478","21.7","39","12.3"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001371","봉화중학교","03","공립","N","","4","82","20.5","5","95","19","5","96","19.2","2","9","4.5","0","0","0","16","282","17.6","30","9.4"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001372","상봉중학교","03","공립","N","","9","238","26.4","9","228","25.3","9","214","23.8","1","6","6","0","0","0","28","686","24.5","49","14"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001373","성일중학교","03","공립","N","","5","98","19.6","5","101","20.2","4","102","25.5","1","1","1","0","0","0","15","302","20.1","25","12.1"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001374","송곡여자중학교","03","사립","N","","4","59","14.8","4","74","18.5","4","46","11.5","0","0","0","0","0","0","12","179","14.9","21","8.5"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001375","숭인중학교","03","공립","N","","5","129","25.8","4","89","22.3","5","123","24.6","2","7","3.5","0","0","0","16","348","21.8","28","12.4"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001376","신현중학교","03","공립","N","","8","212","26.5","9","230","25.6","10","270","27","2","11","5.5","0","0","0","29","723","24.9","50","14.5"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001377","영란여자중학교","03","사립","N","","5","113","22.6","6","109","18.2","4","80","20","0","0","0","0","0","0","15","302","20.1","25","12.1"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001378","용마중학교","03","공립","N","","7","147","21","6","159","26.5","7","152","21.7","2","8","4","0","0","0","22","466","21.2","36","12.9"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001379","원묵중학교","03","공립","N","","10","270","27","11","318","28.9","11","310","28.2","0","0","0","0","0","0","32","898","28.1","59","15.2"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001380","장안중학교","03","공립","N","","6","118","19.7","6","152","25.3","6","150","25","3","13","4.3","0","0","0","21","433","20.6","35","12.4"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001381","장평중학교","03","공립","N","","8","220","27.5","9","254","28.2","9","241","26.8","2","11","5.5","0","0","0","28","726","25.9","46","15.8"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001382","전농중학교","03","공립","N","","5","125","25","6","141","23.5","7","171","24.4","0","0","0","0","0","0","18","437","24.3","36","12.1"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001383","전동중학교","03","공립","N","","6","119","19.8","6","159","26.5","6","156","26","2","14","7","0","0","0","20","448","22.4","36","12.4"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001384","전일중학교","03","공립","N","","5","125","25","6","142","23.7","6","139","23.2","1","1","1","0","0","0","18","407","22.6","31","13.1"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001385","정화여자중학교","03","사립","N","","4","50","12.5","4","38","9.5","4","41","10.3","0","0","0","0","0","0","12","129","10.8","21","6.1"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001386","중랑중학교","03","공립","N","","5","114","22.8","5","109","21.8","6","149","24.8","1","5","5","0","0","0","17","377","22.2","33","11.4"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001387","중화중학교","03","공립","N","","6","134","22.3","7","145","20.7","7","158","22.6","3","11","3.7","0","0","0","23","448","19.5","38","11.8"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001388","청량중학교","03","공립","N","","5","116","23.2","6","139","23.2","7","158","22.6","2","8","4","0","0","0","20","421","21.1","38","11.1"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001389","태릉중학교","03","공립","N","","5","136","27.2","5","135","27","6","156","26","1","3","3","0","0","0","17","430","25.3","37","11.6"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001391","혜원여자중학교","03","사립","N","","5","109","21.8","5","121","24.2","6","129","21.5","0","0","0","0","0","0","16","359","22.4","28","12.8"
