"메인 키","분류1","분류2","분류3","분류4","검색어","명칭","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST36-0213","교육/예술/종교","문화시설","박물관","","생명과학/박물관","생명과학박물관","","","서울특별시","양천구","목1동"
"BE_LiST36-0214","교육/예술/종교","문화시설","박물관","","서대문/자연사박물관","서대문자연사박물관","","","서울특별시","서대문구","연희동"
"BE_LiST36-0215","교육/예술/종교","문화시설","박물관","","서대문형무소/역사관","서대문형무소역사관","","","서울특별시","서대문구","천연동"
"BE_LiST36-0216","교육/예술/종교","문화시설","박물관","","서울세관/관세박물관","서울세관관세박물관","","","서울특별시","강남구","논현2동"
"BE_LiST36-0217","교육/예술/종교","문화시설","박물관","","세계장신구/박물관","세계장신구박물관","","","서울특별시","종로구","삼청동"
"BE_LiST36-0218","교육/예술/종교","문화시설","박물관","","셀라뮤즈/자기박물관","셀라뮤즈자기박물관","","","서울특별시","종로구","평창동"
"BE_LiST36-0219","교육/예술/종교","문화시설","박물관","","수도박물관","수도박물관","","","서울특별시","성동구","성수1가1동"
"BE_LiST36-0220","교육/예술/종교","문화시설","박물관","","쉼박물관","쉼박물관","","","서울특별시","종로구","부암동"
"BE_LiST36-0221","교육/예술/종교","문화시설","박물관","","실크로드/박물관","실크로드박물관","","","서울특별시","종로구","삼청동"
"BE_LiST36-0222","교육/예술/종교","문화시설","박물관","","어린이민속/박물관","어린이민속박물관","","","서울특별시","종로구","청운효자동"
"BE_LiST36-0223","교육/예술/종교","문화시설","박물관","","영인문학관","영인문학관","","","서울특별시","종로구","평창동"
"BE_LiST36-0224","교육/예술/종교","문화시설","박물관","","외교사전시실","외교사전시실","","","서울특별시","서초구","서초2동"
"BE_LiST36-0225","교육/예술/종교","문화시설","박물관","","전쟁기념관","전쟁기념관","","","서울특별시","용산구","남영동"
"BE_LiST36-0226","교육/예술/종교","문화시설","박물관","","절두산성지/순교기념관","절두산성지순교기념관","","","서울특별시","마포구","합정동"
"BE_LiST36-0118","교육/예술/종교","문화시설","문화센터","","대치복지/문화회관","대치복지문화회관","","","서울특별시","강남구","대치2동"
"BE_LiST36-0119","교육/예술/종교","문화시설","문화센터","","대한민국예술인센터","대한민국예술인센터","","","서울특별시","양천구","목1동"
"BE_LiST36-0120","교육/예술/종교","문화시설","문화센터","","동부여성/문화센터","동부여성문화센터","","","서울특별시","종로구","창신2동"
"BE_LiST36-0121","교육/예술/종교","문화시설","문화센터","","동북아시아정보/문화센터","동북아시아정보문화센터","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0122","교육/예술/종교","문화시설","문화센터","","마포아트센터","마포아트센터","","","서울특별시","마포구","대흥동"
"BE_LiST36-0123","교육/예술/종교","문화시설","문화센터","","마포평생학습관/아현분관","마포평생학습관아현분관","","","서울특별시","마포구","공덕동"
"BE_LiST36-0124","교육/예술/종교","문화시설","문화센터","","명동성당/꼬스트홀","명동성당꼬스트홀","","","서울특별시","중구","명동"
"BE_LiST36-0125","교육/예술/종교","문화시설","문화센터","","목동/문화체육센터","목동문화체육센터","","","서울특별시","양천구","목2동"
"BE_LiST36-0126","교육/예술/종교","문화시설","문화센터","","문화센터","문화센터","","","서울특별시","서초구","반포3동"
"BE_LiST36-0127","교육/예술/종교","문화시설","문화센터","","문화유산/교육원","문화유산교육원","","","서울특별시","강남구","대치2동"
