"키","분류1","분류2","분류3","명칭","주소","도로명주소","행정 시","행정 구","행정 동"
"BE_LiST40-0024","관광/숙박","관광","문화재/유적지/능-묘","금원","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0025","관광/숙박","관광","문화재/유적지/능-묘","김유신장군동상","","","서울특별시","중구","회현동"
"BE_LiST40-0026","관광/숙박","관광","문화재/유적지/능-묘","낙선제","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0027","관광/숙박","관광","문화재/유적지/능-묘","낙성대","","","서울특별시","관악구","낙성대동"
"BE_LiST40-0028","관광/숙박","관광","문화재/유적지/능-묘","남산골한옥마을","","","서울특별시","중구","필동"
"BE_LiST40-0029","관광/숙박","관광","문화재/유적지/능-묘","남산봉수대","","","서울특별시","중구","필동"
"BE_LiST40-0030","관광/숙박","관광","문화재/유적지/능-묘","남산봉수대지","","","서울특별시","중구","필동"
"BE_LiST40-0031","관광/숙박","관광","문화재/유적지/능-묘","내의원","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0032","관광/숙박","관광","문화재/유적지/능-묘","내팔각칠층석탑","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0033","관광/숙박","관광","문화재/유적지/능-묘","다산정약용동상","","","서울특별시","용산구","후암동"
"BE_LiST40-0034","관광/숙박","관광","문화재/유적지/능-묘","단봉문","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0035","관광/숙박","관광","문화재/유적지/능-묘","대온실","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0036","관광/숙박","관광","문화재/유적지/능-묘","대웅전감로왕도","","","서울특별시","동작구","사당2동"
"BE_LiST40-0037","관광/숙박","관광","문화재/유적지/능-묘","대조전","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0038","관광/숙박","관광","문화재/유적지/능-묘","대한문","","","서울특별시","중구","소공동"
"BE_LiST40-0039","관광/숙박","관광","문화재/유적지/능-묘","덕수궁광명문","","","서울특별시","중구","소공동"
"BE_LiST40-0040","관광/숙박","관광","문화재/유적지/능-묘","덕수궁세종대왕동상","","","서울특별시","중구","소공동"
"BE_LiST40-0041","관광/숙박","관광","문화재/유적지/능-묘","도편수이승업가옥","","","서울특별시","중구","필동"
"BE_LiST40-0042","관광/숙박","관광","문화재/유적지/능-묘","독립문","","","서울특별시","서대문구","천연동"
"BE_LiST40-0043","관광/숙박","관광","문화재/유적지/능-묘","돈화문","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0044","관광/숙박","관광","문화재/유적지/능-묘","동정문","","","서울특별시","종로구","청운효자동"
"BE_LiST40-0045","관광/숙박","관광","문화재/유적지/능-묘","망묘루","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0046","관광/숙박","관광","문화재/유적지/능-묘","명정전","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0047","관광/숙박","관광","문화재/유적지/능-묘","몽촌토성","","","서울특별시","송파구","오륜동"
"BE_LiST40-0048","관광/숙박","관광","문화재/유적지/능-묘","무명각","","","서울특별시","종로구","청운효자동"
"BE_LiST40-0049","관광/숙박","관광","문화재/유적지/능-묘","문정전","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0050","관광/숙박","관광","문화재/유적지/능-묘","문화류씨묘역","","","서울특별시","송파구","오금동"
"BE_LiST40-0051","관광/숙박","관광","문화재/유적지/능-묘","방이동고분군","","","서울특별시","송파구","오륜동"
"BE_LiST40-0052","관광/숙박","관광","문화재/유적지/능-묘","백련사","","","서울특별시","강북구","우이동"
"BE_LiST40-0053","관광/숙박","관광","문화재/유적지/능-묘","백마동상","","","서울특별시","광진구","능동"
"BE_LiST40-0054","관광/숙박","관광","문화재/유적지/능-묘","백범광장","","","서울특별시","중구","회현동"
"BE_LiST40-0055","관광/숙박","관광","문화재/유적지/능-묘","백범김구동상","","","서울특별시","용산구","효창동"
"BE_LiST40-0056","관광/숙박","관광","문화재/유적지/능-묘","백제고분군","","","서울특별시","송파구","방이1동"
"BE_LiST40-0057","관광/숙박","관광","문화재/유적지/능-묘","보루각자격루","","","서울특별시","중구","소공동"
"BE_LiST40-0058","관광/숙박","관광","문화재/유적지/능-묘","보신각동종","","","서울특별시","용산구","서빙고동"
"BE_LiST40-0059","관광/숙박","관광","문화재/유적지/능-묘","부산진순절도","","","서울특별시","노원구","공릉2동"
"BE_LiST40-0060","관광/숙박","관광","문화재/유적지/능-묘","부용정","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0061","관광/숙박","관광","문화재/유적지/능-묘","사정전","","","서울특별시","종로구","청운효자동"
"BE_LiST40-0062","관광/숙박","관광","문화재/유적지/능-묘","삼국지연의도","","","서울특별시","종로구","사직동"
