"메인 키","분류1","분류2","분류3","분류4","검색어","명칭","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST37-0044","관광/숙박","숙박","특2급호텔","","호텔/프레지던트","호텔프레지던트","","","서울특별시","중구","명동"
"BE_LiST37-0045","관광/숙박","숙박","특2급호텔","","호텔피제이","호텔피제이","","","서울특별시","중구","광희동"
"BE_LiST37-0046","관광/숙박","숙박","특2급호텔","","홀리데이인/성북서울호텔","홀리데이인성북서울호텔","","","서울특별시","성북구","종암동"
"BE_LiST37-0047","관광/숙박","숙박","1급호텔","","경남관광호텔","경남관광호텔","","","서울특별시","동대문구","장안2동"
"BE_LiST37-0048","관광/숙박","숙박","1급호텔","","노블레스/관광호텔","노블레스관광호텔","","","서울특별시","노원구","상계6.7동"
"BE_LiST37-0049","관광/숙박","숙박","1급호텔","","노스탈자호텔","노스탈자호텔","","","서울특별시","강서구","화곡6동"
"BE_LiST37-0050","관광/숙박","숙박","1급호텔","","레이크호텔","레이크호텔","","","서울특별시","송파구","석촌동"
"BE_LiST37-0051","관광/숙박","숙박","1급호텔","","리버파크/관광호텔","리버파크관광호텔","","","서울특별시","강서구","염창동"
"BE_LiST37-0052","관광/숙박","숙박","1급호텔","","메트로호텔","메트로호텔","","","서울특별시","중구","명동"
"BE_LiST37-0053","관광/숙박","숙박","1급호텔","","빅토리아호텔","빅토리아호텔","","","서울특별시","강북구","송중동"
"BE_LiST37-0054","관광/숙박","숙박","1급호텔","","사보이호텔","사보이호텔","","","서울특별시","중구","명동"
"BE_LiST37-0055","관광/숙박","숙박","1급호텔","","삼정관광호텔","삼정관광호텔","","","서울특별시","강남구","역삼1동"
"BE_LiST37-0056","관광/숙박","숙박","1급호텔","","서울렉스호텔","서울렉스호텔","","","서울특별시","중구","회현동"
"BE_LiST37-0057","관광/숙박","숙박","1급호텔","","아스토리아/호텔","아스토리아호텔","","","서울특별시","중구","필동"
"BE_LiST37-0058","관광/숙박","숙박","1급호텔","","앰버서더","앰버서더","","","서울특별시","강남구","대치4동"
"BE_LiST37-0059","관광/숙박","숙박","1급호텔","","여의도/관광호텔","여의도관광호텔","","","서울특별시","영등포구","여의동"
"BE_LiST37-0060","관광/숙박","숙박","1급호텔","","영동관광호텔","영동관광호텔","","","서울특별시","강남구","논현1동"
"BE_LiST37-0061","관광/숙박","숙박","1급호텔","","캘리포니아/관광호텔","캘리포니아관광호텔","","","서울특별시","송파구","가락본동"
"BE_LiST37-0062","관광/숙박","숙박","1급호텔","","크라운/관광호텔","크라운관광호텔","","","서울특별시","용산구","이태원1동"
"BE_LiST37-0063","관광/숙박","숙박","1급호텔","","크라운관광호텔","크라운관광호텔","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST37-0064","관광/숙박","숙박","1급호텔","","트리아/관광호텔","트리아관광호텔","","","서울특별시","강남구","역삼1동"
"BE_LiST37-0065","관광/숙박","숙박","1급호텔","","팝그린/관광호텔","팝그린관광호텔","","","서울특별시","강남구","압구정동"
"BE_LiST37-0066","관광/숙박","숙박","1급호텔","","프린스호텔","프린스호텔","","","서울특별시","중구","명동"
"BE_LiST37-0067","관광/숙박","숙박","1급호텔","","한강호텔","한강호텔","","","서울특별시","광진구","광장동"
"BE_LiST37-0068","관광/숙박","숙박","1급호텔","","해밀톤호텔","해밀톤호텔","","","서울특별시","용산구","이태원1동"
"BE_LiST37-0069","관광/숙박","숙박","1급호텔","","호텔그린월드","호텔그린월드","","","서울특별시","강서구","등촌2동"
"BE_LiST37-0070","관광/숙박","숙박","2급호텔","","뉴리젠트호텔","뉴리젠트호텔","","","서울특별시","강서구","화곡6동"
"BE_LiST37-0071","관광/숙박","숙박","2급호텔","","뉴부림호텔","뉴부림호텔","","","서울특별시","동대문구","전농1동"
"BE_LiST37-0072","관광/숙박","숙박","2급호텔","","바빌론호텔","바빌론호텔","","","서울특별시","서초구","잠원동"
"BE_LiST37-0073","관광/숙박","숙박","2급호텔","","브라운/관광호텔","브라운관광호텔","","","서울특별시","성북구","보문동"
"BE_LiST37-0074","관광/숙박","숙박","2급호텔","","비원관광호텔","비원관광호텔","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST37-0075","관광/숙박","숙박","2급호텔","","잠실관광호텔","잠실관광호텔","","","서울특별시","송파구","잠실본동"
