NO,SAMPLE_ID,식품코드,DB군,상용제품,식품명,연도,지역 / 제조사,채취시기,식품대분류,식품상세분류,1회제공량,내용량_단위,에너지(㎉),수분(g),단백질(g),지방(g),지질-가식부 100g당,탄수화물(g),총 식이섬유(g),칼슘(㎎),철(㎎),인(㎎),셀레늄(㎍),레티놀(㎍),레티놀A효능,비타민 B1(㎎),비타민 B2(㎎),나이아신(㎎),비타민 C(㎎),총 아미노산(g),이소류신(㎎),류신(㎎),라이신(㎎),메티오닌(㎎),페닐알라닌(㎎),트레오닌(㎎),트립토판(㎎),발린(㎎),히스티딘(㎎),아르기닌(㎎),티로신(㎎),시스테인(㎎),알라닌(㎎),아스파르트산(㎎),글루탐산(㎎),글리신(㎎),프롤린(㎎),세린(㎎),타우린(㎎),글리신 베타인(㎎),호마린(㎎),트리고넬린(㎎),리보핵산(㎎),데옥시리보핵산(㎎),냉산가용성물질(㎎),회분(g),성분표출처,발행기관
384,N000214-45-09,N000214,수산물,품목대표,돔발상어,2018,여수,9월,수산물,어류,100,g,85,80,17.9,1,-,0.001,-,72,2.4,-,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1,수('2018),국립수산과학원
385,N000215-45-09,N000215,수산물,품목대표,돔발상어-알,2018,여수,9월,수산물,어류,100,g,329,50,25,23.5,-,0.5,-,0,0,-,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,수('2018),국립수산과학원
386,N000216-55-07,N000216,수산물,품목대표,동갈돗돔,2018,인천,7월,수산물,어류,100,g,-,-,-,-,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
387,N000217-33-05,N000217,수산물,품목대표,동갈치,2018,부산,5월,수산물,어류,100,g,-,-,-,-,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
388,N000217-25-10,N000217,수산물,품목대표,동갈치,2018,대구,10월,수산물,어류,100,g,97,77.9,19.8,1.3,-,0.001,0,72,1.4,800,-,240,800,0.38,0.29,4.2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,수('2018),국립수산과학원
389,N000218-65-04,N000218,수산물,품목대표,동남참게,2018,청평,4월,수산물,갑각류,100,g,125,72.4,13.2,3,3,9.8,-,236,9.7,0,0.27,0,0,0,0,0,-,13.6,613,1080,952,402,671,711,272,716,545,772,646,829,964,1237,1754,39,680,671,0,-,-,-,-,-,-,1.6,수('2018),국립수산과학원
390,N000219-33-06,N000219,수산물,품목대표,동동갈치,2018,부산,6월,수산물,어류,100,g,121,74.6,20,3.9,-,0.001,0,38,1.2,25,-,8,25,0.1,0.13,3.6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,수('2018),국립수산과학원
391,N000220-33-10,N000220,수산물,품목대표,동사리,2018,부산,10월,수산물,어류,100,g,81,81.1,16.9,1,-,0.001,0,20,1,15,-,5,15,0.06,0.07,3.5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,수('2018),국립수산과학원
392,N000221-65-AVG,N000221,수산물,품목대표,동자개,2018,청평,평균,수산물,어류,100,g,-,-,-,-,3.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
393,N000221-65-08,N000221,수산물,품목대표,동자개,2018,청평,8월,수산물,어류,100,g,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.2,655,1340,1452,380,667,767,295,712,327,982,589,56,915,1602,2496,706,502,717,0,-,-,-,-,-,-,-,수('2018),국립수산과학원
394,N000221-33-10,N000221,수산물,품목대표,동자개,2018,부산,10월,수산물,어류,100,g,81,81.6,15.7,1.6,-,0.001,0,36,1.4,15,-,5,15,0.04,0.07,3.2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1,수('2018),국립수산과학원
395,N000222-65-06,N000222,수산물,품목대표,동자개-알,2018,청평,6월,수산물,어류,100,g,-,-,25.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.1,1367,2305,1579,665,964,1142,490,1463,843,1482,866,97,1817,1838,2864,774,1244,1315,0,-,-,-,-,-,-,-,수('2018),국립수산과학원
396,N000223-65-AVG,N000223,수산물,품목대표,동자개-양식산,2018,청평,평균,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
397,N000224-65-AVG,N000224,수산물,품목대표,동자개-자연산,2018,청평,평균,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
398,N000225-84-04,N000225,수산물,품목대표,동죽,2018,고창,4월,수산물,패류,100,g,-,-,-,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
399,N000225-55-AVG,N000225,수산물,품목대표,동죽,2018,인천,평균,수산물,패류,100,g,69,82.7,11.8,1.6,-,0.9,0,90,22.7,15,-,0,15,0.05,0.13,2.5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,수('2018),국립수산과학원
400,N000225-42-11,N000225,수산물,품목대표,동죽,2018,안산,11월,수산물,패류,100,g,-,-,-,-,-,-,-,-,-,-,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
401,N000225-42-06,N000225,수산물,품목대표,동죽,2018,안산,6월,수산물,패류,100,g,-,-,11.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.9,419,698,750,110,342,410,212,440,286,682,264,17,1200,990,1582,771,342,429,0,-,-,-,-,-,-,-,수('2018),국립수산과학원
402,N000226-01-06,N000226,수산물,품목대표,돛양태,2018,강릉,6월,수산물,어류,100,g,81,79.5,18.5,0.1,0.1,0.6,-,40,0.8,-,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.3,수('2018),국립수산과학원
403,N000227-33-05,N000227,수산물,품목대표,두드럭고둥,2018,부산,5월,수산물,패류,100,g,89,77,14.2,0.7,0.7,5.5,-,68,2.1,-,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.6,수('2018),국립수산과학원
404,N000228-ZZ-AVG,N000228,수산물,품목대표,두툽상어,2018,전국(대표),평균,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,224.3,3.1,0,245.2,45.7,250.8,-,수('2018),국립수산과학원
405,N000228-33-05,N000228,수산물,품목대표,두툽상어,2018,부산,5월,수산물,어류,100,g,94,76.6,21.4,0.3,-,0.3,0,22,0.7,20,-,6,20,0.02,0.05,2.9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,수('2018),국립수산과학원
406,N000228-16-10,N000228,수산물,품목대표,두툽상어,2018,남해서부-EEZ(222),10월,수산물,어류,100,g,-,-,23.4,-,0.3,-,-,-,-,-,0.01,-,-,-,-,-,-,21.1,1231,1944,1585,1,1041,1121,424,1172,827,1392,464,43,1438,2238,3616,667,909,1001,0,-,-,-,-,-,-,-,수('2018),국립수산과학원
407,N000229-33-05,N000229,수산물,품목대표,두툽상어-간,2018,부산,5월,수산물,어류,100,g,-,-,-,-,44.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
408,N000230-34-10,N000230,수산물,품목대표,둑중개,2018,부산(낙동강),10월,수산물,어류,100,g,104,78.2,15,4.2,-,0.2,0,520,2.8,600,-,180,600,0.07,0.38,1.5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,수('2018),국립수산과학원
409,N000231-ZZ-AVG,N000231,수산물,품목대표,둥근돌김-소건품,2018,전국(대표),평균,수산물,수산가공품,100,g,168,10.4,35.5,1.7,-,43.3,1.3,412,18.6,14000,-,0,14000,1.15,2.7,11.9,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.8,수('2018),국립수산과학원
410,N000232-45-03,N000232,수산물,품목대표,둥근전복,2018,여수,3월,수산물,패류,100,g,85,78.4,14.3,0.7,-,4.5,0,52,2,0,-,0,0,0.25,0.21,3.4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.1,수('2018),국립수산과학원
411,N000233-25-10,N000233,수산물,품목대표,드렁허리,2018,대구,10월,수산물,어류,100,g,92,79.4,17.9,1.7,-,0.001,0,72,1.4,800,-,240,800,0.38,0.29,4.2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,수('2018),국립수산과학원
412,N000234-76-06,N000234,수산물,품목대표,등가시치,2018,사천,6월,수산물,어류,100,g,-,-,-,-,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
413,N000234-33-05,N000234,수산물,품목대표,등가시치,2018,부산,5월,수산물,어류,100,g,79,80.3,18.5,0.1,-,0.001,0,24,0.4,35,-,11,35,0.06,0.13,4.6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1,수('2018),국립수산과학원
414,N000234-33-03,N000234,수산물,품목대표,등가시치,2018,부산,3월,수산물,어류,100,g,-,-,19.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.8,685,1182,1292,556,561,583,161,730,274,1148,580,181,825,5911,2193,667,491,527,264,-,-,-,-,-,-,-,수('2018),국립수산과학원
415,N000235-65-AVG,N000235,수산물,품목대표,떡붕어,2018,청평,평균,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
416,N000235-65-10,N000235,수산물,품목대표,떡붕어,2018,청평,10월,수산물,어류,100,g,96,78.4,18.1,2,-,0.1,-,14,0.4,10,-,3,10,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,수('2018),국립수산과학원
417,N000235-65-02,N000235,수산물,품목대표,떡붕어,2018,청평,2월,수산물,어류,100,g,-,-,17.7,-,2,-,-,-,-,-,-,-,-,-,-,-,-,16.8,818,1337,1789,305,763,784,338,875,649,1029,566,88,1122,1939,2592,458,573,726,0,-,-,-,-,-,-,-,수('2018),국립수산과학원
418,N000236-65-05,N000236,수산물,품목대표,떡붕어-알,2018,청평,5월,수산물,어류,100,g,-,-,25.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.7,1174,1941,1279,511,913,1067,443,1225,835,1329,948,1751,1743,1558,3287,118,1229,1377,0,-,-,-,-,-,-,-,수('2018),국립수산과학원
419,N000236-65-02,N000236,수산물,품목대표,떡붕어-알,2018,청평,2월,수산물,어류,100,g,-,-,-,-,2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
420,N000237-76-03,N000237,수산물,품목대표,떡조개,2018,사천,3월,수산물,패류,100,g,-,-,-,-,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
421,N000237-33-04,N000237,수산물,품목대표,떡조개,2018,부산,4월,수산물,패류,100,g,87,78.3,11.2,1,-,7.4,0,104,3.8,0,-,0,-,0.04,0.28,1.9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.1,수('2018),국립수산과학원
422,N000238-33-05,N000238,수산물,품목대표,또아리물레고둥,2018,부산,5월,수산물,패류,100,g,-,-,-,-,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
423,N000239-ZZ-AVG,N000239,수산물,품목대표,뜸부기-소건품,2018,전국(대표),평균,수산물,수산가공품,100,g,128,18.1,6.1,2.5,-,46.8,5.3,1090,23.9,180,-,0,180,0.04,0.16,6.6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.2,수('2018),국립수산과학원
424,N000240-65-11,N000240,수산물,품목대표,띠구슬다슬기,2018,청평,11월,수산물,패류,100,g,-,-,-,-,-,-,-,-,-,-,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
425,N000240-03-11,N000240,수산물,품목대표,띠구슬다슬기,2018,경기,11월,수산물,패류,100,g,117,70.1,16.9,0.6,0.6,9.8,-,469,6.4,-,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.6,수('2018),국립수산과학원
426,N000241-61-04,N000241,수산물,품목대표,마디잘록이,2018,진도,4월,수산물,해조류,100,g,-,-,6.4,-,0.2,-,-,-,-,-,-,-,-,-,-,-,-,5.6,274,402,364,82,295,289,121,321,155,378,191,28,356,659,812,334,232,322,0,-,-,-,-,-,-,-,수('2018),국립수산과학원
427,N000242-33-11,N000242,수산물,품목대표,만새기,2018,부산,11월,수산물,어류,100,g,-,-,21.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.8,990,1576,1972,609,847,945,240,1084,1215,1502,823,220,1352,1544,3401,1003,614,829,106,-,-,-,-,-,-,-,수('2018),국립수산과학원
428,N000242-33-05,N000242,수산물,품목대표,만새기,2018,부산,5월,수산물,어류,100,g,66,84.3,13.3,1.1,-,0.001,-,0,0,-,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.3,수('2018),국립수산과학원
429,N000243-76-03,N000243,수산물,품목대표,말똥성게,2018,사천,3월,수산물,기타,100,g,-,-,-,-,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
430,N000244-33-04,N000244,수산물,품목대표,말미잘,2018,부산,4월,수산물,기타,100,g,-,-,-,-,2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
431,N000244-10-06,N000244,수산물,품목대표,말미잘,2018,기장,6월,수산물,기타,100,g,-,-,12.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.5,444,577,711,149,309,489,190,511,440,728,263,60,559,1088,1312,696,464,513,0,-,-,-,-,-,-,-,수('2018),국립수산과학원
432,N000245-33-05,N000245,수산물,품목대표,말백합,2018,부산,5월,수산물,패류,100,g,58,84.3,10.1,0.5,0.5,2.5,-,92,2.4,-,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.6,수('2018),국립수산과학원
433,N000246-59-03,N000246,수산물,품목대표,말전복,2018,제주,3월,수산물,패류,100,g,77,80.3,12.8,0.8,-,3.8,0,51,2,0,-,0,0,0.23,0.25,2.6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.3,수('2018),국립수산과학원
434,N000246-33-03,N000246,수산물,품목대표,말전복,2018,부산,3월,수산물,패류,100,g,-,-,13.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.2,414,804,717,376,368,474,103,477,285,1597,390,172,715,1041,1803,1014,578,511,1391,-,-,-,-,-,-,-,수('2018),국립수산과학원
435,N000247-65-12,N000247,수산물,품목대표,말쥐치,2018,청평,12월,수산물,어류,100,g,-,-,18.4,-,-,-,-,-,-,-,-,-,0,-,-,-,-,17.9,831,1505,1632,516,762,820,360,864,549,1072,635,28,1103,1955,2931,897,679,737,0,-,-,-,-,-,-,-,수('2018),국립수산과학원
436,N000247-45-10,N000247,수산물,품목대표,말쥐치,2018,여수,10월,수산물,어류,100,g,-,-,17.9,-,-,-,-,-,-,-,0.06,-,0,-,-,-,-,17.6,788,1434,1139,544,753,847,961,829,490,1153,694,241,1146,1661,2499,986,676,785,330,-,-,-,-,-,-,-,수('2018),국립수산과학원
437,N000247-45-06,N000247,수산물,품목대표,말쥐치,2018,여수,6월,수산물,어류,100,g,80,79.9,17.9,0.2,-,0.6,0,20,0.5,0,-,0,-,0.02,0.12,3.8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,수('2018),국립수산과학원
438,N000247-33-09,N000247,수산물,품목대표,말쥐치,2018,부산,9월,수산물,어류,100,g,-,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
439,N000248-ZZ-AVG,N000248,수산물,품목대표,말쥐치-조미건품,2018,전국(대표),평균,수산물,수산가공품,100,g,325,18.6,38.7,2.2,-,34.3,0,154,3.4,0,-,0,0,0.03,0.07,5.9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.2,수('2018),국립수산과학원
440,N000249-42-06,N000249,수산물,품목대표,맛조개,2018,안산,6월,수산물,패류,100,g,-,-,-,-,-,-,-,-,-,-,0.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
441,N000249-42-05,N000249,수산물,품목대표,맛조개,2018,안산,5월,수산물,패류,100,g,-,-,12,-,1.2,-,-,-,-,-,-,-,-,-,-,-,-,9.8,439,712,750,32,381,414,211,490,248,705,265,98,1238,968,1498,601,385,455,0,-,-,-,-,-,-,-,수('2018),국립수산과학원
442,N000250-45-06,N000250,수산물,품목대표,망상어,2018,여수,6월,수산물,어류,100,g,89,78.5,18.9,0.9,0.9,0.2,-,44,1,60,-,18,60,0.08,0.1,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,수('2018),국립수산과학원
443,N000250-33-03,N000250,수산물,품목대표,망상어,2018,부산,3월,수산물,어류,100,g,-,-,18.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.9,937,1677,1751,554,797,791,187,943,356,1496,760,219,1113,1892,3015,767,606,662,464,-,-,-,-,-,-,-,수('2018),국립수산과학원
444,N000251-45-06,N000251,수산물,품목대표,매끈이고둥,2018,여수,6월,수산물,패류,100,g,108,72.6,22.5,0.4,0.4,2.3,-,97,2.5,0,-,0,0,0.04,0.23,1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2,수('2018),국립수산과학원
445,N000251-10-07,N000251,수산물,품목대표,매끈이고둥,2018,기장,7월,수산물,패류,100,g,-,-,19.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.4,656,1370,1228,479,687,783,180,718,363,1526,789,290,1260,1383,3157,1333,523,818,887,-,-,-,-,-,-,-,수('2018),국립수산과학원
446,N000252-45-06,N000252,수산물,품목대표,매리복,2018,여수,6월,수산물,어류,100,g,88,77.9,19.8,0.3,0.3,0.4,-,7,0.4,0,-,0,-,0.06,0.12,3.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6,수('2018),국립수산과학원
447,N000252-33-10,N000252,수산물,품목대표,매리복,2018,부산,10월,수산물,어류,100,g,-,-,19.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.1,886,1463,1904,545,730,816,180,956,441,1143,656,203,1060,1829,2804,930,684,666,271,-,-,-,-,-,-,-,수('2018),국립수산과학원
448,N000253-ZZ-AVG,N000253,수산물,품목대표,매생이,2018,전국(대표),평균,수산물,해조류,100,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
449,N000253-53-01,N000253,수산물,품목대표,매생이,2018,완도,1월,수산물,해조류,100,g,-,-,4.2,-,3.3,-,-,-,-,-,0.01,-,-,-,-,-,-,4.1,169,308,214,17,176,200,220,257,80,235,119,27,469,469,435,246,234,186,113,-,-,-,-,-,-,-,수('2018),국립수산과학원
450,N000254-ZZ-AVG,N000254,수산물,품목대표,매생이-소건품,2018,전국(대표),평균,수산물,수산가공품,100,g,125,15.6,20.6,0.5,-,35.4,-,574,43.1,-,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.7,수('2018),국립수산과학원
451,N000255-72-05,N000255,수산물,품목대표,매오징어,2018,포항,5월,수산물,두족류,100,g,80,81.1,14,1.4,-,1.8,-,19,0.9,36,-,11,36,0,0,0,-,10.2,507,859,822,154,466,475,200,522,207,753,322,624,658,1172,1596,41,282,489,0,-,-,-,-,-,-,1.7,수('2018),국립수산과학원
452,N000256-33-10,N000256,수산물,품목대표,매퉁이,2018,부산,10월,수산물,어류,100,g,-,-,19.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.5,974,1594,2029,605,1000,898,193,1067,495,1128,717,217,1153,1990,3041,895,692,758,95,-,-,-,-,-,-,-,수('2018),국립수산과학원
453,N000256-33-05,N000256,수산물,품목대표,매퉁이,2018,부산,5월,수산물,어류,100,g,93,77.1,20.8,0.5,-,0.1,0,52,0.4,15,-,5,15,0.05,0.12,2.9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,수('2018),국립수산과학원
454,N000256-23-03,N000256,수산물,품목대표,매퉁이,2018,남해중부-EEZ(113),3월,수산물,어류,100,g,-,-,-,-,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
455,N000257-33-07,N000257,수산물,품목대표,맵사리,2018,부산,7월,수산물,패류,100,g,-,-,19.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.5,678,1510,1145,679,638,706,193,885,786,2081,703,202,1104,1652,2755,878,1369,622,929,-,-,-,-,-,-,-,수('2018),국립수산과학원
456,N000258-ZZ-AVG,N000258,수산물,품목대표,먹장어,2018,전국(대표),평균,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,436.9,313.1,5.1,69,35.5,288.3,-,수('2018),국립수산과학원
457,N000258-33-07,N000258,수산물,품목대표,먹장어,2018,부산,7월,수산물,어류,100,g,-,-,13.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.1,576,1015,1075,426,527,609,172,828,255,740,504,168,782,823,1989,789,295,511,18,-,-,-,-,-,-,-,수('2018),국립수산과학원
458,N000258-33-05,N000258,수산물,품목대표,먹장어,2018,부산,5월,수산물,어류,100,g,129,75.3,16.9,6,6,0.4,-,11,1.5,1800,-,540,1800,0.1,0.15,4.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,수('2018),국립수산과학원
459,N000259-33-03,N000259,수산물,품목대표,먹장어-껍질,2018,부산,3월,수산물,어류,100,g,-,-,-,-,12.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
460,N000260-33-05,N000260,수산물,품목대표,먹장어-전어체,2018,부산,5월,수산물,어류,100,g,-,-,-,-,4.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
461,N000261-ZZ-AVG,N000261,수산물,품목대표,멍게,2018,전국(대표),평균,수산물,기타,100,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146.2,49.9,0,-,-,-,-,수('2018),국립수산과학원
462,N000261-70-03,N000261,수산물,품목대표,멍게,2018,"통영,알래스카산",3월,수산물,기타,100,g,-,-,-,-,-,-,-,-,-,-,0.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
463,N000261-33-04,N000261,수산물,품목대표,멍게,2018,부산,4월,수산물,기타,100,g,-,-,-,-,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
464,N000261-10-06,N000261,수산물,품목대표,멍게,2018,기장,6월,수산물,기타,100,g,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.5,233,353,343,190,232,247,84,233,134,341,221,140,251,402,777,313,429,226,412,-,-,-,-,-,-,-,수('2018),국립수산과학원
465,N000262-33-10,N000262,수산물,품목대표,메기,2018,부산,10월,수산물,어류,100,g,114,78.4,15.1,5.3,-,0.1,0,26,0.8,160,-,48,160,0.2,0.07,2.3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1,수('2018),국립수산과학원
466,N000263-65-AVG,N000263,수산물,품목대표,메기-자연산,2018,청평,평균,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
467,N000263-65-05,N000263,수산물,품목대표,메기-자연산,2018,청평,5월,수산물,어류,100,g,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.6,715,1292,1233,441,663,728,286,736,423,947,556,676,888,1523,2332,22,445,642,0,-,-,-,-,-,-,-,수('2018),국립수산과학원
