MAPIDX,STORENAME,WHICHCVS,ADDRESS
88,KCC웰츠타워점,C·SPACE,경기 성남시 수정구 위례광장로 21-9. 1층 1004호
89,드림랜드점,C·SPACE,경기도 평택시 서정역로26번길 5
90,김포마산역점,C·SPACE,경기도 김포시 마산동 621-15
91,신풍두산점,C·SPACE,서울 영등포구 대방천로 155
92,패밀리점,C·SPACE,인천시 부평구 청천동 190-100
93,오이도중앙로점,C·SPACE,"경기도 시흥시 오이도중앙로5번길 16, 101호"
94,평택항점,C·SPACE,경기 평택시 포승읍 하만호길 229
95,대운로또점,C·SPACE,경기 화성시 팔탄면 3.1만세로 768
96,김포월하점,C·SPACE,경기 김포시 월곶면 월하로 163
97,서구만남의광장점,C·SPACE,대구 서구 이현동 288-7
98,중구남산점,C·SPACE,대구 중구 남산동 232-1
99,신암동부점,C·SPACE,대구 동구 신암북로11길 56
100,칠곡석적점,C·SPACE,경북 칠곡군 석적읍 북중리4길 34 웰시안빌리지
101,구미산동점,C·SPACE,경북 구미시 산동읍 신당1로4길 3
102,국가산단점,C·SPACE,대구 달성군 구지면 국가산단대로33길 281-25
103,김천신음점,C·SPACE,경북 김천시 신음1길 33
104,구미문성점,C·SPACE,경북 구미시 고아읍 동평로 75
105,유가테크노점,C·SPACE,대구 달성군 유가읍 테크노순환로12길 3
106,송해공원점,C·SPACE,대구 달성군 옥포읍 옥포로 301
107,달서장동점,C·SPACE,대구 달서구 문화회관길 250
108,대구명덕점,C·SPACE,대구 남구 중앙대로 227
109,석적율리점,C·SPACE,경북 칠곡군 석적읍 남율로9길 30
110,구미송정점,C·SPACE,경북 구미시 백산로2길 4
111,신서혁신점,C·SPACE,대구 동구 경안로 849
112,구미옥계점,C·SPACE,경북 구미시 흥안로 35 동화타운
113,중구현대점,C·SPACE,대구 중구 달구벌대로415길 11
114,강구해안길점,C·SPACE,경북 영덕군 강구면 강구해안길 13
115,영덕구계항점,C·SPACE,경북 영덕군 남정면 동해대로 4054
116,경산갑제점,C·SPACE,경북 경산시 화랑로8길 216
117,경산임당점,C·SPACE,경북 경산시 계양동 남매공원로1길 9
118,경산진량점,C·SPACE,경북 경산시 진량읍 공단4로 145
119,포항양덕점,C·SPACE,경북 포항시 북구 새천년대로 1359 (장성동)
120,울진후포점,C·SPACE,경북 울진군 후포면 후포로 42-1
121,울진공항점,C·SPACE,"경북 울진군 기성면 기성로 264,2층"
122,수성중동점,C·SPACE,대구 수성구 들안로 165
123,수성3가점,C·SPACE,대구 수성구 명덕로 442-3
124,두산희망점,C·SPACE,대구 수성구 상화로 124
125,영도청학점,C·SPACE,부산 영도구 와치로39번길 6
126,간절곶해맞이점,C·SPACE,울산 울주군 서생면 해맞이로 1247 1층
127,경주안강점,C·SPACE,경북 경주시 안강읍 호국로 2191
128,경주외동점,C·SPACE,경북 경주시 외동읍 연안개곡2길 15-59
129,부산과학관점,C·SPACE,부산 기장군 기장읍 동부산관광6로 59 국립부산과학관
130,경주현곡점,C·SPACE,경북 경주시 현곡면 용담정길 4
131,양산덕계점,C·SPACE,"경남 양산시 덕계1길 27-24 1동, 1층, 1호(덕계동, 이스트)"
132,양산명동점,C·SPACE,"경남 양산시 신명동7길 15 115호 116호(명동, 청운프라자)"
133,충효중앙점,C·SPACE,경북 경주시 충효중앙길 53
134,영천3사점,C·SPACE,경북 영천시 고경면 호국로 575-8
135,경주읍성점,C·SPACE,경북 경주시 동문로 14
136,부산대북문점,C·SPACE,부산 금정구 부산대학로63번길 2
137,부산온천점,C·SPACE,부산 동래구 쇠미로 198
138,수영스마일점,C·SPACE,부산 수영구 연수로312번길 3
139,괴정점,C·SPACE,부산 사하구 사하로 184
140,서구대신점,C·SPACE,부산 서구 보수대로 258
141,범천골드점,C·SPACE,부산 부산진구 범일로 150
142,송도바다점,C·SPACE,부산 서구 충무대로 6
143,재송제일점,C·SPACE,부산 해운대구 재송1로 44
144,범어사역점,C·SPACE,부산 금정구 중앙대로 2097
145,남양만남의광장점,C·SPACE,경남 사천시 사천대로 690
146,진주하대점,C·SPACE,경남 진주시 도동천로 307 하대동
147,율하점,C·SPACE,"경남 김해시 율하6로 52 112호(장유동, 에이원프라자)"
148,괘법은하점,C·SPACE,부산 사상구 사상로148번길 39
149,삼락휴게소점,C·SPACE,경남 고성군 마암면 남해안대로 3390 씨스페이스 삼락휴게소점
150,범천점,C·SPACE,부산 부산진구 신천대로65번길 59
151,김해지내동점,C·SPACE,경남 김해시 분성로727번길 26-43 동원아파트 상가
152,사천큰마트점,C·SPACE,경남 사천시 사천읍 평화2길 22
153,진해해양공원점,C·SPACE,경남 창원시 진해구 명제로 204 나동 101호
154,구산제일점,C·SPACE,경남 김해시 가락로 291 108호
155,명지팰리스점,C·SPACE,부산 강서구 명지국제5로 165 상가동 112호
156,사천온병원점,C·SPACE,경남 사천시 사천읍 구암두문로 154-28
157,진해용원점,C·SPACE,경남 창원시 진해구 용원북로12번길 20
158,김해삼방점,C·SPACE,경남 김해시 삼안로 214
159,구서제일점,C·SPACE,부산 금정구 수림로66번길 100
160,한림신천점,C·SPACE,경남 김해시 한림면 김해대로 1432
161,어방가야점,C·SPACE,경남 김해시 인제로170번길 15-6
162,뿌리공원점,C·SPACE,대전 중구 뿌리공원로 9
163,대전태평점,C·SPACE,대전 중구 평촌로 93
164,탕정점,C·SPACE,충남 아산시 탕정면 매곡한들13길 33
165,유성문지점,C·SPACE,대전 유성구 문지로 328
166,선화호수점,C·SPACE,대전 중구 선화로 60
167,동아마이스터고점,C·SPACE,대전 동구 충정로 97
168,로또명당인주점,C·SPACE,충남 아산시 인주면 서해로 519-2
169,대전용산점,C·SPACE,대전 유성구 배울1로 119
170,목동사거리점,C·SPACE,대전 중구 목중로 2
171,아산탕정역점,C·SPACE,충남 아산시 탕정면 매곡리 492-1
172,의당전의점,C·SPACE,세종특별자치시 전의면 의당전의로 670
173,대전OK주유소점,C·SPACE,대전 대덕구 대전로 1312
174,대전한밭대점,C·SPACE,대전 유성구 동서대로 179번길 64
175,공주예안점,C·SPACE,충남 공주시 웅진로 148
176,대전다인점,C·SPACE,대전 서구 도산로 349번길 65
177,큰마을점,C·SPACE,대전 서구 대덕대로 168번길 82
178,공주정안점,C·SPACE,충남 공주시 정안면 정안중앙길 186
179,세종전의점,C·SPACE,세종특별자치시 전의면 의당전의로 1004
180,대전로또명당점,C·SPACE,대전 서구 관저로 129번길 3
181,공주신관점,C·SPACE,충남 공주시 전막2길 10-2
182,월평본점,C·SPACE,대전 서구 월평로 37번길 21
183,대전월평점,C·SPACE,대전 서구 청사서로 14
184,세종전동점,C·SPACE,세종특별자치시 전동면 전동고가로 72
185,진천봉산점,C·SPACE,충북 진천군 진천읍 문화로 118
186,청주금천점,C·SPACE,충북 청주시 상당구 쇠내로 91번길 7
187,성연산단점,C·SPACE,충남 서산시 성연면 성연4로 141-17
188,가로수점,C·SPACE,충북 청주시 흥덕구 가로수로 1311번길 6
189,탑정호점,C·SPACE,충남 논산시 부적면 부적로 394
190,일송휴게소점,C·SPACE,충남 논산시 가야곡면 탑정로 905
191,원광보건대점,C·SPACE,전북 익산시 익산대로 74길 21
192,대둔산점,C·SPACE,전북 완주군 운주면 대둔산로 2252
193,모항소나무에노을점,C·SPACE,전북 부안군 변산면 모항해변길 73
194,진천송두점,C·SPACE,충북 진천군 진천읍 성중로 240-1
