"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001026","서울방화초등학교","02","공립","N","","5","95","19","4","95","23.8","4","70","17.5","5","113","22.6","4","92","23","4","89","22.3","1","5","5","0","0","0","27","559","20.7","34","16.4"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001027","서울백석초등학교","02","공립","N","","5","84","16.8","5","88","17.6","4","73","18.3","4","82","20.5","4","76","19","4","74","18.5","1","5","5","0","0","0","27","482","17.9","32","15.1"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001028","서울삼정초등학교","02","공립","N","","3","43","14.3","2","36","18","2","42","21","2","38","19","2","33","16.5","2","40","20","1","4","4","0","0","0","14","236","16.9","17","13.9"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001029","서울서정초등학교","02","공립","N","","6","116","19.3","5","129","25.8","5","128","25.6","6","155","25.8","6","159","26.5","6","157","26.2","1","3","3","0","0","0","35","847","24.2","42","20.2"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001030","서울송정초등학교","02","공립","N","","9","163","18.1","5","113","22.6","5","100","20","6","123","20.5","5","104","20.8","6","121","20.2","2","6","3","0","0","0","38","730","19.2","45","16.2"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001031","서울송화초등학교","02","공립","N","","8","184","23","9","194","21.6","9","217","24.1","10","219","21.9","10","221","22.1","7","167","23.9","1","5","5","0","0","0","54","1207","22.4","63","19.2"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001032","서울신강초등학교","02","공립","N","","4","65","16.3","4","76","19","3","62","20.7","3","61","20.3","4","95","23.8","4","86","21.5","2","4","2","0","0","0","24","449","18.7","28","16"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001033","서울신곡초등학교","02","공립","N","","5","96","19.2","5","99","19.8","4","90","22.5","6","128","21.3","6","128","21.3","5","107","21.4","2","9","4.5","0","0","0","33","657","19.9","39","16.8"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001034","서울신남초등학교","02","공립","N","","8","197","24.6","6","157","26.2","6","141","23.5","5","130","26","5","129","25.8","4","106","26.5","2","11","5.5","0","0","0","36","871","24.2","40","21.8"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001035","서울신목초등학교","02","공립","N","","5","121","24.2","5","131","26.2","6","165","27.5","7","187","26.7","7","209","29.9","8","220","27.5","2","14","7","0","0","0","40","1047","26.2","50","20.9"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001036","서울신서초등학교","02","공립","N","","6","134","22.3","7","195","27.9","8","208","26","7","193","27.6","7","189","27","9","224","24.9","0","0","0","0","0","0","44","1143","26","50","22.9"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001037","서울신원초등학교","02","공립","N","","3","51","17","4","78","19.5","4","75","18.8","4","71","17.8","4","74","18.5","3","61","20.3","2","9","4.5","0","0","0","24","419","17.5","29","14.4"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001038","서울신월초등학교","02","공립","N","","5","97","19.4","5","95","19","5","101","20.2","5","102","20.4","6","111","18.5","5","95","19","2","13","6.5","0","0","0","33","614","18.6","41","15"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001039","서울신정초등학교","02","공립","N","","12","229","19.1","9","196","21.8","12","244","20.3","13","262","20.2","12","240","20","11","221","20.1","3","16","5.3","0","0","0","72","1408","19.6","86","16.4"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001040","서울양강초등학교","02","공립","N","","4","85","21.3","4","78","19.5","4","85","21.3","4","78","19.5","4","75","18.8","5","105","21","1","4","4","0","0","0","26","510","19.6","31","16.5"
